Ticker,Start_Date,End_Date,Observations,Missing_%,Annualized_Return_%,Annualized_Volatility_%
KOTAKBANK.NS,2015-01-01,2026-08-19,2875,0.0,13.360837056628494,25.907390138208946
INFY.NS,2015-01-01,2026-08-19,2875,0.0,13.56000054808798,26.811709457947085
WIPRO.NS,2015-01-01,2026-08-19,2875,0.0,9.332764676998694,25.694903059491182
TECHM.NS,2015-01-01,2026-08-19,2875,0.0,15.352640720287248,29.241661026806415
ONGC.NS,2015-01-01,2026-08-19,2875,0.0,10.716383741216404,32.82458655389698
NTPC.NS,2015-01-01,2026-08-19,2875,0.0,15.995549566105542,25.884141155207086
ITC.NS,2015-01-01,2026-08-19,2875,0.0,7.6389489280901985,24.332542053224376
NESTLEIND.NS,2015-01-01,2026-08-19,2875,0.0,17.24128058221618,22.786361007430976
BRITANNIA.NS,2015-01-01,2026-08-19,2875,0.0,19.893182157094262,23.96443280617176
SUNPHARMA.NS,2015-01-01,2026-08-19,2875,0.0,12.1171894922965,28.15628690954898
DRREDDY.NS,2015-01-01,2026-08-19,2875,0.0,9.433186970011862,26.38963007334565
APOLLOHOSP.NS,2015-01-01,2026-08-19,2875,0.0,23.09090159750652,30.926792286822362
BHARTIARTL.NS,2015-01-01,2026-08-19,2875,0.0,20.31032301672873,28.86827876529439
TATASTEEL.NS,2015-01-01,2026-08-19,2875,0.0,22.760092752976586,35.60932036816123
DLF.NS,2015-01-01,2026-08-19,2875,0.0,23.892852071519894,42.230581313924105
