Date,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
2015-01-01,124.74360656738281,359.9810485839844,90.1255111694336,450.91131591796875,129.91122436523438,79.6338119506836,156.9480438232422,275.4014587402344,782.58935546875,750.9713745117188,593.4082641601562,1081.4827880859375,304.2445373535156,28.31410789489746,121.66375732421875
2015-01-02,126.02710723876953,367.0551452636719,90.92496490478516,453.11846923828125,131.85581970214844,80.72391510009766,157.4396514892578,275.99212646484375,802.693603515625,754.6704711914062,595.4229736328125,1083.3558349609375,306.047119140625,28.755142211914062,123.25760650634766
2015-01-05,125.52163696289062,363.9010314941406,91.08810424804688,445.5585632324219,133.34732055664062,80.50031280517578,158.05950927734375,276.1403503417969,803.2489624023438,755.1271362304688,581.93017578125,1086.9578857421875,299.2562255859375,29.171682357788086,120.24702453613281
2015-01-06,124.0250244140625,356.2981262207031,88.95895385742188,440.7792663574219,125.79546356201172,77.81696319580078,153.99847412109375,272.300048828125,804.1249389648438,738.5037231445312,566.61669921875,1054.58740234375,296.9088439941406,27.757556915283203,118.34324645996094
2015-01-07,126.02216339111328,358.0028381347656,88.28187561035156,438.7198181152344,127.64564514160156,79.68970489501953,151.1343536376953,273.43988037109375,852.7724609375,739.6455688476562,561.7463989257812,1062.847900390625,297.62139892578125,27.225505828857422,119.1844711303711
2015-01-08,132.87582397460938,359.80780029296875,88.91816711425781,446.0624084472656,129.0616455078125,81.03138732910156,154.91754150390625,274.6386413574219,841.4277954101562,747.8659057617188,566.7552490234375,1081.9151611328125,302.77740478515625,27.649044036865234,126.40105438232422
2015-01-09,134.88780212402344,378.2226257324219,90.30496215820312,465.8225402832031,132.53553771972656,78.40394592285156,152.56640625,278.383056640625,831.21533203125,758.1411743164062,584.776611328125,1080.281982421875,298.2921142578125,27.97808074951172,122.0622329711914
2015-01-12,135.88392639160156,385.7889709472656,90.72102355957031,478.62237548828125,131.28941345214844,78.2641830444336,152.97250366210938,281.7133483886719,825.532470703125,762.9363403320312,592.8076782226562,1074.3267822265625,292.54925537109375,27.77505874633789,120.86685180664062
2015-01-13,138.0594024658203,380.8571472167969,91.9365005493164,479.8562316894531,128.3630828857422,77.67720031738281,153.93435668945312,292.6937255859375,826.1306762695312,760.9270629882812,595.7833862304688,1104.72802734375,290.32763671875,27.407522201538086,117.98906707763672
2015-01-14,137.885986328125,388.10455322265625,90.05207824707031,485.14825439453125,129.91122436523438,77.00636291503906,148.67640686035156,295.623046875,831.5359497070312,749.5556640625,592.9924926757812,1114.7659912109375,289.9084167480469,26.381929397583008,118.0776138305664
2015-01-15,138.79783630371094,389.12548828125,91.28389739990234,483.4538269042969,130.83636474609375,77.81696319580078,152.99388122558594,296.8108825683594,826.4510498046875,754.3508911132812,598.9625244140625,1102.614990234375,292.88458251953125,26.934986114501953,130.87266540527344
2015-01-16,138.29733276367188,386.2174377441406,90.55785369873047,489.5626525878906,131.0628662109375,78.48778533935547,153.93435668945312,304.4871520996094,824.1221923828125,776.1346435546875,607.3262329101562,1139.02001953125,287.43524169921875,26.840469360351562,129.50021362304688
2015-01-19,137.71253967285156,383.3367614746094,95.3137435913086,486.66021728515625,131.2139129638672,79.24248504638672,153.3785858154297,308.35577392578125,815.55517578125,788.2366943359375,614.3684692382812,1152.8997802734375,293.80682373046875,26.934986114501953,128.70327758789062
2015-01-20,138.33201599121094,387.2931823730469,96.3252944946289,486.9296875,132.27120971679688,79.85741424560547,158.63658142089844,308.3797607421875,820.7254028320312,796.73095703125,611.0968627929688,1162.9375,297.53765869140625,28.14259147644043,128.96888732910156
2015-01-21,137.5836944580078,395.6253662109375,96.0479507446289,486.0083923339844,130.66641235351562,80.22077941894531,150.77102661132812,308.6194152832031,818.2898559570312,809.1985473632812,616.5771484375,1176.5771484375,309.3586120605469,27.799556732177734,127.24224090576172
2015-01-22,137.53414916992188,400.4660949707031,97.83331298828125,479.3349914550781,133.25289916992188,78.37599182128906,149.89466857910156,309.3627014160156,812.3504028320312,840.3442993164062,621.2720336914062,1192.714111328125,310.1969909667969,28.240604400634766,131.5810546875
2015-01-23,137.30120849609375,403.8574523925781,99.02628326416016,483.2713317871094,131.7047882080078,79.32634735107422,149.3817138671875,316.3937683105469,818.1188354492188,846.5096435546875,619.1187133789062,1243.0472412109375,322.0180358886719,28.2195987701416,138.7533721923828
2015-01-27,137.60348510742188,389.5357971191406,98.49150848388672,489.5103454589844,132.2523193359375,80.02513122558594,153.9557342529297,320.3909912109375,817.99072265625,834.818359375,593.7594604492188,1295.9256591796875,330.4855041503906,27.89056968688965,139.81591796875
2015-01-28,133.91653442382812,391.00347900390625,99.92311096191406,499.3644104003906,133.6305389404297,79.85741424560547,154.87478637695312,318.38592529296875,817.7343139648438,830.9365844726562,598.685302734375,1365.4210205078125,313.21514892578125,27.383020401000977,144.3760986328125
2015-01-29,131.95901489257812,391.1767578125,99.17440795898438,504.7605895996094,132.87538146972656,79.29838562011719,158.25181579589844,314.4801940917969,815.4268798828125,840.1160278320312,621.6508178710938,1305.722900390625,315.0595397949219,27.330514907836914,147.5637969970703
2015-01-30,131.04721069335938,390.52032470703125,99.80792236328125,498.5216369628906,132.66763305664062,80.3046646118164,157.54652404785156,310.0600891113281,807.1588134765625,838.24365234375,597.61328125,1261.729736328125,313.2989501953125,27.33401107788086,150.44158935546875
2015-02-02,134.0354461669922,389.59967041015625,102.86033630371094,503.1357727050781,132.1012420654297,79.41018676757812,154.16941833496094,307.73248291015625,811.9017333984375,848.6103515625,580.2112426757812,1296.1177978515625,301.2264099121094,26.87197494506836,153.1422882080078
2015-02-03,129.47129821777344,386.6914978027344,102.27616119384766,507.3241271972656,135.72613525390625,80.50031280517578,156.4778289794922,308.5540771484375,822.2208251953125,859.7077026367188,570.6090698242188,1245.5927734375,311.4964904785156,26.67945098876953,150.61871337890625
2015-02-04,128.00440979003906,390.693603515625,101.88947296142578,495.69732666015625,139.16226196289062,80.24742889404297,157.14041137695312,304.16229248046875,809.3380737304688,875.8743286132812,572.4111938476562,1257.839599609375,309.316650390625,27.246509552001953,153.49647521972656
2015-02-05,127.64761352539062,399.98297119140625,105.02416229248047,498.3910827636719,134.6688995361328,78.75823211669922,157.6961212158203,300.7361145019531,791.9898681640625,876.42236328125,567.818115234375,1243.575439453125,305.7536315917969,26.54994773864746,149.99884033203125
2015-02-06,125.56625366210938,406.6742858886719,105.84690856933594,497.105224609375,132.53553771972656,78.6739501953125,159.6625213623047,300.0997619628906,802.9500122070312,846.5552978515625,562.6889038085938,1213.46240234375,308.7298889160156,25.807876586914062,144.7303009033203
2015-02-09,125.5018310546875,410.02899169921875,106.59561157226562,490.1707458496094,134.55563354492188,77.99958801269531,157.2686767578125,297.9573059082031,804.2318115234375,859.8904418945312,572.81787109375,1183.7811279296875,298.5435791015625,24.3237361907959,139.10755920410156
2015-02-10,127.43453979492188,415.38934326171875,105.7399673461914,480.099609375,133.91372680664062,77.07234954833984,158.1236114501953,296.1591796875,826.0665893554688,839.887451171875,578.6215209960938,1167.3079833984375,298.5856018066406,25.044803619384766,139.5060272216797
2015-02-11,128.71804809570312,416.5836181640625,105.0488510131836,493.8726501464844,130.25106811523438,78.75823211669922,158.65794372558594,299.9472351074219,824.5496215820312,845.6417846679688,582.6695556640625,1227.10205078125,298.5435791015625,25.552350997924805,140.2586669921875
2015-02-12,128.50991821289062,421.38787841796875,106.43106842041016,505.6123046875,130.81748962402344,79.85404205322266,158.33737182617188,297.4865417480469,840.7012939453125,843.5869140625,615.7178344726562,1244.055908203125,295.6931457519531,25.573354721069336,140.56858825683594
2015-02-13,129.78846740722656,418.6348571777344,108.71829986572266,501.6584777832031,128.21205139160156,80.50031280517578,161.6075439453125,306.59906005859375,864.3734741210938,859.0684204101562,618.0742797851562,1246.2171630859375,297.62139892578125,25.66086196899414,137.42514038085938
2015-02-16,128.0985565185547,415.47137451171875,108.84993743896484,503.9178161621094,128.55189514160156,80.92176818847656,166.544921875,311.5553283691406,869.201904296875,835.5034790039062,619.423583984375,1247.41748046875,302.9450988769531,25.888383865356445,137.69081115722656
2015-02-18,129.61996459960938,418.7076110839844,110.0840835571289,502.6490173339844,125.5877914428711,82.07378387451172,168.1051788330078,312.51202392578125,878.431396484375,838.2891235351562,619.9781494140625,1254.4776611328125,295.1062927246094,25.727367401123047,132.7764129638672
2015-02-19,129.5654754638672,423.8492126464844,108.52085876464844,491.85662841796875,125.90872192382812,82.41095733642578,166.395263671875,306.9499206542969,889.2420654296875,837.2846069335938,625.273681640625,1254.04541015625,299.046630859375,26.269916534423828,133.04208374023438
2015-02-20,128.67343139648438,416.2644958496094,106.95763397216797,488.3894958496094,124.87033081054688,81.8489990234375,169.30210876464844,312.8346252441406,896.2709350585938,834.087890625,629.1552124023438,1283.1981201171875,292.88458251953125,26.231414794921875,134.01611328125
2015-02-23,130.51693725585938,413.07391357421875,106.91648864746094,482.92364501953125,122.66143035888672,82.07378387451172,166.82275390625,305.1082458496094,880.39697265625,829.9320068359375,626.5490112304688,1303.850341796875,291.1659851074219,25.716869354248047,129.76583862304688
2015-02-24,133.83226013183594,414.38653564453125,107.45128631591797,485.10479736328125,118.96101379394531,82.38285827636719,169.15249633789062,305.5572204589844,885.7808227539062,831.575927734375,620.9946899414062,1299.5274658203125,286.7645568847656,25.139310836791992,129.85440063476562
2015-02-25,133.06414794921875,422.5548400878906,109.22842407226562,480.1081848144531,119.7539291381836,82.07378387451172,170.86239624023438,307.4207458496094,884.2426147460938,813.582763671875,606.134033203125,1261.345703125,292.255859375,24.565258026123047,130.5627899169922
2015-02-26,132.15231323242188,411.7064514160156,108.25756072998047,477.59710693359375,120.58468627929688,86.17607116699219,169.13108825683594,305.9779052734375,878.3673095703125,790.7029418945312,601.1158447265625,1248.5704345703125,292.88458251953125,24.166223526000977,133.26344299316406
2015-02-27,132.58839416503906,413.1012268066406,107.66519165039062,492.829833984375,122.62367248535156,89.04204559326172,168.29757690429688,306.0432434082031,890.2459716796875,802.75927734375,605.893798828125,1250.7796630859375,297.78912353515625,24.547758102416992,138.08924865722656
2015-03-02,139.22402954101562,417.83251953125,109.34359741210938,497.052978515625,120.84896087646484,89.6321029663086,146.73135375976562,304.6985778808594,906.8890991210938,845.0481567382812,625.9668579101562,1294.9169921875,292.6331481933594,24.680768966674805,136.849609375
2015-03-03,139.62045288085938,418.95391845703125,110.65177917480469,505.4731140136719,121.01883697509766,89.18254089355469,146.00466918945312,309.3277893066406,926.6515502929688,861.3518676757812,629.8944091796875,1348.8997802734375,292.8008117675781,24.72277069091797,133.9718017578125
2015-03-04,139.77407836914062,414.72381591796875,108.52085876464844,500.43316650390625,121.03778076171875,88.50822448730469,147.1588134765625,318.1984558105469,919.7506713867188,919.122314453125,626.6691284179688,1361.962890625,294.4775390625,24.37274169921875,136.45114135742188
2015-03-05,139.97232055664062,409.7920227050781,109.88661193847656,500.1985778808594,120.81123352050781,88.87345886230469,148.01376342773438,318.03277587890625,944.6405639648438,948.7610473632812,636.1049194335938,1352.9339599609375,291.6689758300781,24.029712677001953,136.4954071044922
2015-03-09,135.2495880126953,399.29925537109375,108.61959075927734,488.5894470214844,119.31974029541016,85.30503845214844,144.63671875,321.8840637207031,939.7695922851562,950.8160400390625,640.9197998046875,1309.373291015625,287.9382629394531,23.543167114257812,133.7061767578125
2015-03-10,133.58447265625,400.748779296875,107.66519165039062,493.53375244140625,118.71556854248047,84.26541137695312,144.7222137451172,322.44415283203125,921.267578125,935.8826293945312,635.3285522460938,1304.474609375,308.47833251953125,23.214139938354492,128.30479431152344
2015-03-11,136.3695526123047,397.8680114746094,107.73924255371094,507.758544921875,116.86537170410156,86.40084838867188,144.57261657714844,317.3680114746094,920.8190307617188,922.3649291992188,641.0030517578125,1293.9561767578125,326.587158203125,22.773094177246094,128.43763732910156
