Date,KOTAKBANK.NS_PRICE,INFY.NS_PRICE,WIPRO.NS_PRICE,TECHM.NS_PRICE,ONGC.NS_PRICE,NTPC.NS_PRICE,ITC.NS_PRICE,NESTLEIND.NS_PRICE,BRITANNIA.NS_PRICE,SUNPHARMA.NS_PRICE,DRREDDY.NS_PRICE,APOLLOHOSP.NS_PRICE,BHARTIARTL.NS_PRICE,TATASTEEL.NS_PRICE,DLF.NS_PRICE,KOTAKBANK.NS_RETURN,INFY.NS_RETURN,WIPRO.NS_RETURN,TECHM.NS_RETURN,ONGC.NS_RETURN,NTPC.NS_RETURN,ITC.NS_RETURN,NESTLEIND.NS_RETURN,BRITANNIA.NS_RETURN,SUNPHARMA.NS_RETURN,DRREDDY.NS_RETURN,APOLLOHOSP.NS_RETURN,BHARTIARTL.NS_RETURN,TATASTEEL.NS_RETURN,DLF.NS_RETURN,^NSEI_MARKET,^INDIAVIX_MARKET
2015-01-01,124.74360656738281,359.9810485839844,90.1255111694336,450.91131591796875,129.91122436523438,79.6338119506836,156.9480438232422,275.4014587402344,782.58935546875,750.9713745117188,593.4082641601562,1081.4827880859375,304.2445373535156,28.31410789489746,121.66375732421875,,,,,,,,,,,,,,,,,15.029999732971191
2015-01-02,126.02710723876953,367.0551452636719,90.92496490478516,453.11846923828125,131.85581970214844,80.72391510009766,157.4396514892578,275.99212646484375,802.693603515625,754.6704711914062,595.4229736328125,1083.3558349609375,306.047119140625,28.755142211914062,123.25760650634766,0.010289109852643197,0.01965130305474161,0.008870448832724032,0.004894872322773969,0.014968647600818619,0.013688948484459784,0.003132295593115453,0.0021447516193677796,0.025689396241318718,0.004925749243228639,0.003395148996631514,0.0017319248125207132,0.005924779464536067,0.015576486416373436,0.013100443527167327,8395.4501953125,13.800000190734863
2015-01-05,125.52163696289062,363.9010314941406,91.08810424804688,445.5585632324219,133.34732055664062,80.50031280517578,158.05950927734375,276.1403503417969,803.2489624023438,755.1271362304688,581.93017578125,1086.9578857421875,299.2562255859375,29.171682357788086,120.24702453613281,-0.004010805984154264,-0.00859302426414843,0.0017942194801234823,-0.01668417095989938,0.011311604280048959,-0.0027699634568592035,0.003937113568421635,0.0005370583532642303,0.0006918690821584583,0.0006051184675897048,-0.022660862024251105,0.0033249008912938915,-0.02218904583632808,0.014485761983171086,-0.024425121138952233,8378.400390625,14.149999618530273
2015-01-06,124.0250244140625,356.2981262207031,88.95895385742188,440.7792663574219,125.79546356201172,77.81696319580078,153.99847412109375,272.300048828125,804.1249389648438,738.5037231445312,566.61669921875,1054.58740234375,296.9088439941406,27.757556915283203,118.34324645996094,-0.011923143969757022,-0.02089278296964625,-0.023374626228107598,-0.010726529056758194,-0.0566329864230094,-0.03333340599395129,-0.025693077087340477,-0.0139070639583041,0.001090541791526345,-0.022014058677483295,-0.026314972482637478,-0.029780807355139216,-0.007844052658222078,-0.04847596464135184,-0.01583222606560053,8127.35009765625,17.420000076293945
2015-01-07,126.02216339111328,358.0028381347656,88.28187561035156,438.7198181152344,127.64564514160156,79.68970489501953,151.1343536376953,273.43988037109375,852.7724609375,739.6455688476562,561.7463989257812,1062.847900390625,297.62139892578125,27.225505828857422,119.1844711303711,0.016102709807847004,0.00478450990507473,-0.007611130950971989,-0.004672289282585118,0.01470785612771941,0.024065982817995657,-0.018598369235439893,0.004185939546739625,0.0604974670171039,0.0015461610650560065,-0.008595405500197772,0.007832919327991794,0.002399911441016922,-0.019167792325874178,0.007108345389990278,8102.10009765625,18.139999389648438
2015-01-08,132.87582397460938,359.80780029296875,88.91816711425781,446.0624084472656,129.0616455078125,81.03138732910156,154.91754150390625,274.6386413574219,841.4277954101562,747.8659057617188,566.7552490234375,1081.9151611328125,302.77740478515625,27.649044036865234,126.40105438232422,0.05438456537383485,0.00504175376823035,0.007207498702390902,0.016736399927351098,0.011093213283070558,0.01683633332372758,0.02503195187032148,0.004384002014268251,-0.013303273788733638,0.011113886515766724,0.008916568236546851,0.017939783044384594,0.017324042820794583,0.01555666993554583,0.060549693961885254,8234.599609375,16.469999313354492
2015-01-09,134.88780212402344,378.2226257324219,90.30496215820312,465.8225402832031,132.53553771972656,78.40394592285156,152.56640625,278.383056640625,831.21533203125,758.1411743164062,584.776611328125,1080.281982421875,298.2921142578125,27.97808074951172,122.0622329711914,0.015141792458788661,0.05117961707461349,0.015596307132189402,0.04429902960153509,0.026916534329354924,-0.032424983612570846,-0.015176688392301685,0.013633971041715265,-0.012137064445236434,0.013739453123246648,0.031797433434872735,-0.001509525672260148,-0.014813821825728435,0.011900473383736898,-0.034325832425489256,8284.5,15.960000038146973
2015-01-12,135.88392639160156,385.7889709472656,90.72102355957031,478.62237548828125,131.28941345214844,78.2641830444336,152.97250366210938,281.7133483886719,825.532470703125,762.9363403320312,592.8076782226562,1074.3267822265625,292.54925537109375,27.77505874633789,120.86685180664062,0.007384835781238719,0.020005004196117726,0.004607292793482376,0.027477921521994908,-0.009402189699590724,-0.0017826000563223587,0.002661774777888759,0.01196298290648512,-0.006836810040832253,0.006324898551973046,0.013733563789925407,-0.00551263493441001,-0.01925246633156119,-0.007256466409954587,-0.009793210688132437,8323.0,16.110000610351562
2015-01-13,138.0594024658203,380.8571472167969,91.9365005493164,479.8562316894531,128.3630828857422,77.67720031738281,153.93435668945312,292.6937255859375,826.1306762695312,760.9270629882812,595.7833862304688,1104.72802734375,290.32763671875,27.407522201538086,117.98906707763672,0.01600981169729576,-0.012783734377784683,0.013397963802160628,0.002577932550506201,-0.022289158656899843,-0.00750001730315808,0.006287751094590899,0.03897712785024421,0.0007246299662770905,-0.002633610745131798,0.005019685333250479,0.028297949581206794,-0.00759399865682675,-0.01323261088865435,-0.023809544850292852,8299.400390625,16.479999542236328
2015-01-14,137.885986328125,388.10455322265625,90.05207824707031,485.14825439453125,129.91122436523438,77.00636291503906,148.67640686035156,295.623046875,831.5359497070312,749.5556640625,592.9924926757812,1114.7659912109375,289.9084167480469,26.381929397583008,118.0776138305664,-0.001256097988242777,0.01902919784707069,-0.020496998373733533,0.011028350484157068,0.012060644265378118,-0.008636220147002716,-0.034157090997618766,0.010008145146256142,0.0065428794653987765,-0.014944137853533546,-0.0046844098361746855,0.009086366615793429,-0.0014439547520901375,-0.03742012125041794,0.0007504657433339279,8277.5498046875,17.25
