Date,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,-0.004010805984154042,-0.00859302426414843,0.0,-0.01668417095989927,0.0,-0.0027699634568593146,0.0,0.0,0.0,0.0,-0.022660862024251105,0.0,-0.02218904583632797,0.0,-0.024425121138952233
2015-01-06,-0.015886128536727218,-0.02930627504279093,-0.023374626228107487,-0.027231736772068027,-0.0566329864230094,-0.03601103713431464,-0.025693077087340366,-0.0139070639583041,0.0,-0.022014058677483184,-0.04837951454628742,-0.029780807355139216,-0.029859046450574023,-0.04847596464135184,-0.03987064316500122
2015-01-07,-3.9228446677253004e-05,-0.024661981300939217,-0.03080784983792728,-0.03177679150278678,-0.042758080111682806,-0.01281169531725157,-0.04381359698831522,-0.009779338540566562,0.0,-0.020501934892838136,-0.056559078501057014,-0.022181158688682645,-0.02753079407675163,-0.06671457974418404,-0.03304571207754892
2015-01-08,0.0,-0.019744567169864946,-0.023822398673266743,-0.015572220666434378,-0.032139191330865624,0.0,-0.019878384969070906,-0.0054382091661583365,-0.013303273788733638,-0.009615904554824084,-0.04814682314736107,-0.004639300818846226,-0.010683695911433144,-0.0521957665056072,0.0
2015-01-09,0.0,0.0,-0.008597632987411008,0.0,-0.00608773264828566,-0.032424983612570846,-0.03475338530695471,0.0,-0.025278875542663504,0.0,-0.01788033511661713,-0.006141823347418973,-0.025339251369489335,-0.04091644745191403,-0.034325832425489144
2015-01-12,0.0,0.0,-0.0040299520064325245,0.0,-0.015432684330676794,-0.03414978289127901,-0.03218411621352224,0.0,-0.031942858713364886,0.0,-0.004392332049600989,-0.011620600651883084,-0.04410387461719234,-0.04787600503531897,-0.04378288300463318
2015-01-13,0.0,-0.012783734377784461,0.0,0.0,-0.03737786143802835,-0.041393676231853305,-0.026098730830881323,0.0,-0.03124137549972006,-0.002633610745131687,0.0,0.0,-0.05136294850941525,-0.06047509137843776,-0.066549977338352
2015-01-14,-0.001256097988242777,0.0,-0.020496998373733533,0.0,-0.025768018262854908,-0.04967241147822399,-0.0593643651045872,0.0,-0.02490290458854927,-0.01753839155663739,-0.0046844098361745745,0.0,-0.05273273748792384,-0.0956322273768444,-0.06584945507323015
2015-01-15,0.0,0.0,-0.0070984118985908395,-0.00349259731409135,-0.018830193213221436,-0.039668876953144805,-0.03204886611959035,0.0,-0.03086569083607149,-0.011253165912916807,0.0,-0.010900046352654846,-0.043008202978854215,-0.07667354305635343,0.0
2015-01-16,-0.003605989497875828,-0.007473297495761644,-0.014995642017572863,0.0,-0.017131610415319964,-0.031390330013917445,-0.0260987308308811,0.0,-0.033596615588630585,0.0,0.0,0.0,-0.06081376453948628,-0.07991356030976882,-0.010486924660520147
2015-01-19,-0.007819261883049822,-0.014876246817470129,0.0,-0.005928628925004231,-0.01599887859664406,-0.022076658708178765,-0.029614943658343718,0.0,-0.04364269117618447,0.0,0.0,0.0,-0.039994806827545304,-0.07667354305635332,-0.016576324862528358
2015-01-20,-0.0033561064416071096,-0.004708778950194614,0.0,-0.005378198426641445,-0.00806998472374032,-0.014487880834719968,0.0,0.0,-0.03757984641089118,0.0,-0.005325153566830498,0.0,-0.027804412840457204,-0.03527704945933319,-0.014546796844676746
2015-01-21,-0.008747555999694345,0.0,-0.0028792411324054523,-0.007260072301508269,-0.02010470245621676,-0.010003628678650234,-0.04958222585937622,0.0,-0.04043588009697241,0.0,0.0,0.0,0.0,-0.04703621850743278,-0.027740128072347048
2015-01-22,-0.009104516089313508,0.0,0.0,-0.020891424373872813,-0.0007080861192007015,-0.0327699622990264,-0.055106538249223846,0.0,-0.047400754547151536,0.0,0.0,0.0,0.0,-0.031917184128557374,0.0
2015-01-23,-0.010782789180821983,0.0,0.0,-0.012850900221911488,-0.012317700436546342,-0.02104172264881088,-0.0583400592146881,0.0,-0.04063642656821331,0.0,-0.0034659862278132447,0.0,0.0,-0.032637253346216144,0.0
2015-01-27,-0.008604969847480937,-0.03546215425415944,-0.005400331736645003,-0.00010684460636389836,-0.008211647719145732,-0.012418102869555692,-0.02950673247016955,0.0,-0.04078665749010302,-0.013811164785545782,-0.044284261563676375,0.0,0.0,-0.04391631086564329,0.0
2015-01-28,-0.035168429205205576,-0.03182799602315334,0.0,0.0,0.0,-0.014487880834719968,-0.02371328863904587,-0.006258184446418014,-0.041087334051731594,-0.01839678874375983,-0.03635562158307337,0.0,-0.05225752720685228,-0.06131500867345652,0.0
2015-01-29,-0.04927181570877226,-0.031398936691532264,-0.0074927911643488665,0.0,-0.005651084525220451,-0.02138679548883815,-0.002425453332098204,-0.018448699499322152,-0.04379313681592323,-0.007552915399531512,0.0,-0.043721401106733504,-0.046676674655142913,-0.06311488749155447,0.0
