,CAGR,NIFTY_CAGR,CAGR_Advantage,Sharpe_Advantage
Equal_Weight,0.1803661236817431,0.11874662145700055,0.06161950222474255,0.38222030564550347
Minimum_Variance,0.16211573126040757,0.11874662145700055,0.043369109803407024,0.3790448715966134
Maximum_Sharpe,0.17781518553109787,0.11874662145700055,0.05906856407409733,0.33761281715464186
Risk_Parity,0.17511357207901201,0.11874662145700055,0.05636695062201147,0.151253628177341
Random_Forest,0.34312224228915866,0.11874662145700055,0.22437562083215812,1.1439743939276101
XGBoost,0.39982406111354796,0.11874662145700055,0.2810774396565474,1.3809831165636006
