Date,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity,Random_Forest,XGBoost,NIFTY_50
2017-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-20,-0.010552907530686717,-0.004974213337200051,-0.01168446512647825,-0.01510985354187433,-0.010467066248356693,-0.010256509220845311,-0.010165855054597661
2017-01-23,-0.006329800781261552,-0.001846563681438651,-0.005008180974488519,-0.011465456587745004,-0.009245848652929545,-0.001896419908948399,-0.005168831595840584
2017-01-24,0.0,0.0,0.0,0.0,-0.0012335007911470353,0.0,0.0
2017-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-27,0.0,-0.0009505539027010457,-0.0014992420628744396,0.0,0.0,-0.0018769264909560546,0.0
2017-01-30,0.0,0.0,-0.003976514502104789,-0.0007828616388217968,0.0,0.0,-0.0009836539852451365
2017-01-31,-0.008996948398322768,-0.008789584253374838,-0.010429484438562842,-0.007653411343660821,-0.006751776664765896,-0.0021407511279663005,-0.00925215626356135
2017-02-01,-0.0010472590550878458,-0.004827803944364217,0.0,0.0,0.0,0.0,0.0
2017-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-07,-0.0074229503536751285,-0.007023578274611975,-0.002807756601579947,-0.007936138519689884,-0.009116334411778615,-0.006996327061708496,-0.0037211469911869743
2017-02-08,-0.00992643361089296,-0.009360992773154053,-0.008403749768203128,-0.012816683389988981,-0.013827804838798308,-0.009132708700903658,-0.0036359298845186627
2017-02-09,-0.008130705177418207,-0.005481209089741368,-0.011075772800734351,-0.017148155788101693,-0.012456721994221431,-0.005977298704534562,-0.0025734900455212095
2017-02-10,-0.0035810424891074,-0.001320880601466512,-0.004985054105154818,-0.015559121673803022,-0.013271137053887827,-0.006173715115452394,-0.0008521710666838933
2017-02-13,-5.7111207336868475e-05,0.0,0.0,-0.01338524506397143,-0.01347065263747027,-0.0050145321787933295,0.0
2017-02-14,0.0,0.0,-0.001362747639816031,-0.012698650067755057,-0.007938707376655918,0.0,-0.0014480326951942235
2017-02-15,-0.013789349686954111,-0.006104206120990829,-0.007079885969276445,-0.0332662492494481,-0.03330421156522856,-0.017621994077132053,-0.009125400895770741
2017-02-16,-0.0017068219925887584,0.0,0.0,-0.017440846851866865,-0.016144247920809374,-0.009061965535551386,-0.0030720785557739605
2017-02-17,0.0,0.0,0.0,-0.009285825670271142,-0.009958462405465718,-0.0038468646365616976,0.0
2017-02-20,0.0,0.0,0.0,0.0,-0.0006649914655375566,0.0,0.0
2017-02-21,-0.0005108596509644237,-0.0010775460258890535,-0.00331437449710692,0.0,-0.00017304509180759986,-0.0004860255027100413,0.0
2017-02-22,-0.0035611295129653886,-0.004480095254511984,-0.013736014942223429,-0.0011247741256344979,0.0,-0.00310239984253724,0.0
2017-02-23,0.0,0.0,-0.006876598410986534,0.0,0.0,0.0,0.0
2017-02-27,-0.007064459927874633,-0.005934496067802608,-0.012344093063077932,-0.008001193832700149,-0.006851603774128412,-0.0035487924573657237,-0.004787717958219084
2017-02-28,-0.00604791945941352,-0.0075866922743440535,-0.013550520909735186,-0.005731570355310911,-0.0023300833786187303,-0.0005830168838006911,-0.006700642163991244
2017-03-01,0.0,-0.0007654706940364298,-0.00415527289523876,0.0,0.0,0.0,0.0
2017-03-02,-0.01594260230163913,-0.010849859426679709,-0.01819729360275102,-0.02221338963576225,-0.019734837833774277,-0.02143664397503464,-0.0051476453411544165
2017-03-03,-0.017295648739729996,-0.013711055264359895,-0.021789697694068577,-0.02513620839840669,-0.019090673416175874,-0.01584563018657892,-0.005393592641623535
2017-03-06,-0.013654163778294981,-0.008007433165295397,-0.015834670394321293,-0.023107548255282606,-0.018970290683824276,-0.01640206325701754,0.0
2017-03-07,-0.015532677388607752,-0.008227104919947714,-0.02330739515398328,-0.025956334170400885,-0.021541713470248802,-0.020583144475176174,-0.0018463654426456033
2017-03-08,-0.020330631481257244,-0.008341011429226275,-0.02565443334746098,-0.032203537121907044,-0.030119727507385452,-0.02745866371606931,-0.004367781353375899
2017-03-09,-0.028463343591860535,-0.018164524299510876,-0.025192754723249666,-0.04130963195377435,-0.03570156136821112,-0.03144409756422284,-0.004066536268764187
2017-03-10,-0.02961987190807469,-0.01860577026917498,-0.02261449625196299,-0.04159069061722698,-0.04266478697472498,-0.03548024942797445,-0.003224248475225955
2017-03-14,-0.0179112990033492,-0.008502161124353869,-0.012354238604998957,-0.027666040557967397,-0.02408213061511133,-0.014642313813394425,0.0
2017-03-15,-0.018376717057757896,-0.010366065190040574,-0.010708976693000638,-0.025422477760100648,-0.023079642841634773,-0.01426655818690914,-0.00024212559838243664
2017-03-16,-0.007965364015210086,-0.0028289925348646827,0.0,-0.011474814126541166,-0.009556255141366932,-0.0006146090199979914,0.0
2017-03-17,-0.00743196665662238,0.0,0.0,-0.015671324054296054,-0.0027214413052629727,0.0,0.0
2017-03-20,-0.008077069544623394,0.0,-0.0003699127536778146,-0.015799838177754766,-0.007424379883456678,-0.004220567959449473,-0.0036244557639316666
2017-03-21,-0.007438550822213119,0.0,0.0,-0.018555976643622962,-0.0080093334657938,-0.002089437887184298,-0.004208471079248266
2017-03-22,-0.014432489245040148,-0.005387062528436459,-0.011519909352496693,-0.02343865359252917,-0.016097724033721672,-0.010566894615305134,-0.014148352043749979
2017-03-23,-0.008413490717587568,0.0,-0.006690624103540266,-0.017814494182837315,-0.01278820612233078,-0.0074176234339233815,-0.008051266267379953
2017-03-24,-0.007851333471427746,0.0,-0.0027870354874089953,-0.017751383880514338,-0.012680154450465886,-0.004715560897259663,-0.005682262192599263
2017-03-27,-0.01548738796910698,-0.0036096564763383743,-0.009842447764970896,-0.029520028838652013,-0.017183204278290343,-0.009245260938571254,-0.0125380987902739
2017-03-28,-0.014548462409680885,-0.0024028578021394464,-0.006766834118633325,-0.027114439066469043,-0.017180051942535024,-0.009062231417533484,-0.00646830544192889
2017-03-29,-0.01293150716627478,0.0,-0.0013250879136936788,-0.02818443949663041,-0.018556487160267587,-0.010492126325109319,-0.0017740078216259558
2017-03-30,-0.01206205512928471,0.0,0.0,-0.031933502534976066,-0.01271198939284146,-0.004367748081088196,0.0
2017-03-31,-0.009363007228778364,0.0,0.0,-0.026850805085347984,-0.009485002331810044,-0.0002985232951040473,0.0
2017-04-03,-0.010810704558486428,-0.004615968404833692,-0.0030969860123709614,-0.020746258295334608,-0.009430223740609978,0.0,0.0
2017-04-05,-0.00866468932296005,-0.0022449698747760705,0.0,-0.016288360273891578,-0.008298294045943289,0.0,0.0
2017-04-06,-0.006508543546146384,-0.003810127773283045,-0.00013846593086408454,-0.011013448328535014,-0.009436621677787915,0.0,-0.00034540133484917135
2017-04-07,-0.014580928773137103,-0.009902781211214018,-0.006128991064997091,-0.021693471628195238,-0.016785776956899534,-0.008517082700646994,-0.007215272620414659
2017-04-10,-0.014420997021569293,-0.012593254971181578,-0.00388630496249065,-0.017308613167628106,-0.013913512157366914,-0.004925411046232675,-0.009033873362400358
2017-04-11,-0.00900331622850814,-0.006731738156053324,0.0,-0.015340744546014196,-0.010252302506398192,-0.0007716372673463034,-0.0030383090870801377
2017-04-12,-0.01203510652368045,-0.010815212952267061,-0.003416207401536586,-0.01603082910114928,-0.009943995797857208,-3.686987960493937e-07,-0.006659384112634781
2017-04-13,-0.022572628602133715,-0.02207318079893783,-0.018467965961352473,-0.020630992408539384,-0.01615523620300341,-0.005355957307317971,-0.012342010773317424
2017-04-17,-0.024085901576343383,-0.02861526788247748,-0.023935180613065654,-0.018155959137663658,-0.015177072588673735,0.0,-0.013583221062967499
2017-04-18,-0.032415199922452675,-0.030286412796962314,-0.028415037792442255,-0.03238791774144045,-0.026463507154602328,-0.011915297812795433,-0.017269012725567356
2017-04-19,-0.031061352377068863,-0.029966652957076123,-0.023710813382531115,-0.029757170346287998,-0.029329119588058616,-0.014117883083260119,-0.01744714157997529
2017-04-20,-0.027431260088301657,-0.025631832513329234,-0.021163038284388702,-0.028790988681514196,-0.023658630339125075,-0.0071944286258829315,-0.013896158677604853
2017-04-21,-0.02507655264819464,-0.028740100040627548,-0.023505021540726423,-0.023547516850624173,-0.018709314512806996,-0.0023429151854673647,-0.01573099127969646
2017-04-24,-0.020252525140773914,-0.026666566279930026,-0.019085734708010005,-0.016421174605673383,-0.013649464221385355,0.0,-0.005094379834380214
2017-04-25,-0.010681931342561013,-0.01773306621353521,-0.009910268101381403,-0.007561866937499162,-0.005946465450831662,0.0,0.0
2017-04-26,-0.009175131695669636,-0.011463813078506413,-0.0018894865894758528,-0.006182045839487893,-0.006156361444232261,0.0,0.0
2017-04-27,-0.0057787725192079975,-0.0025953233519216967,0.0,-0.0053203431649907484,0.0,0.0,-0.001037144431864867
2017-04-28,-0.007750576847524671,-0.008367430890327876,-0.0037148823835273515,0.0,-0.004276850639789664,-0.004847734285289951,-0.0051112674694406834
2017-05-02,-0.007923907151899057,-0.010172941829672544,-0.004405678587991235,0.0,-0.004144424391934298,-0.003420494578212141,-0.004068692962016507
2017-05-03,-0.008353640015162811,-0.00989803781670795,-0.005906870932579689,-0.0023100359924731473,-0.0026271909996282705,-0.0029647750880109625,-0.004266473021818373
2017-05-04,-0.007315628428149812,-0.006863643315578205,-0.004836937958452858,-0.0031983304788930633,-0.0013440274786430395,-0.0034116077271409972,0.0
2017-05-05,-0.01464917134240884,-0.011227816445851801,-0.01553603820899585,-0.010056085627274447,-0.001903408081035729,-0.0028519645686850836,-0.00797023288968135
2017-05-08,-0.006056551190611992,-0.007717760034230414,-0.012991587384799552,-2.4674479120134762e-05,0.0,0.0,-0.0048986190049014056
2017-05-09,-0.00308196920852577,-0.006203864362966605,-0.009879647610321007,0.0,0.0,0.0,-0.004599491389151944
2017-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.002281796475279374
2017-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-16,0.0,0.0,-0.0004045186922408961,0.0,0.0,-0.000660582335861637,0.0
2017-05-17,0.0,-0.004955674865805726,0.0,0.0,0.0,-0.0027612170509896394,0.0
2017-05-18,-0.011445396271696273,-0.010215944599285653,-0.013768756770583868,-0.01869159994879732,-0.012393650011103152,-0.01758787016798813,-0.010109419697923894
2017-05-19,-0.009717361773317279,-0.008064760866919651,-0.0061246107725988486,-0.01790421749677229,-0.011624924236541267,-0.016987186585559977,-0.010272116040731638
2017-05-22,-0.009230214855458163,-0.0020585554878808088,0.0,-0.02547660925519779,-0.016807620824652925,-0.021391687621555855,-0.009185628428207693
2017-05-23,-0.018504351499868288,-0.006574034543970431,-0.0063621889978938695,-0.04214477041484821,-0.03448337864586115,-0.03929010417921075,-0.014654973033619179
2017-05-24,-0.028471159637517784,-0.014276170761128748,-0.01619990413996575,-0.052997494436131665,-0.04459714700326822,-0.05213999181524409,-0.017342486976091087
2017-05-25,-0.024864048896634516,-0.010177432487042948,-0.009594066669693868,-0.048978680700033195,-0.049449992306378365,-0.051981198819956775,-0.001679657769729448
