Date,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity,Random_Forest,XGBoost,NIFTY_50
2017-01-18,1.001486492362263,0.9980742442527669,1.0047279267205877,1.0064338743696264,1.000785761867052,1.0033433992805059,1.002262443438914
2017-01-19,1.003777572011873,0.9993955116237705,1.0092149973113285,1.0082598597659098,1.0012772442302857,1.0072291018285082,1.0044176719903548
2017-01-20,0.9931848001130543,0.9944243051407137,0.9974228598701254,0.9930252009526962,0.9907968089819553,0.9968984472581004,0.9942069075226244
2017-01-23,0.9974238599523393,0.9975500641686132,1.0041606659626254,0.996699700114598,0.9920195863705101,1.0053189725069285,0.9992260061919505
2017-01-24,1.0048402403562087,1.0039356583350323,1.0136031846790758,1.0094363380447333,1.00004216795737,1.0111240938953723,1.0092640872454752
2017-01-25,1.0144486738610918,1.0101983638183158,1.030013811678484,1.0274067401265798,1.0117272348429343,1.0335730417833455,1.0243808049535605
2017-01-27,1.014815320278537,1.0092381158210861,1.028469571646674,1.0290108263482676,1.0171768036492221,1.0316331011608844,1.0289652298166232
2017-01-30,1.0196073680316808,1.015623223712982,1.0259179468189763,1.0282052532463872,1.0300319982161457,1.039825409696451,1.0279530840676354
2017-01-31,1.01043401315495,1.0066963178184727,1.0192712986580785,1.021135383217144,1.0230774522066277,1.0375994022777553,1.0194450827205885
2017-02-01,1.0185395749828754,1.0107199939075526,1.0328353579405107,1.031307444786723,1.0345563328605865,1.0600389545034756,1.0379138355114317
2017-02-02,1.0287601743833499,1.0224609308993524,1.039292711544893,1.0374830420670684,1.046882450495921,1.0655705433482914,1.0400392950702553
2017-02-03,1.036143363617266,1.0286657733489084,1.039486552910256,1.0438449564615653,1.0589468592417142,1.0722480851806977,1.0408371273294241
2017-02-06,1.0440890586393696,1.0389365273328628,1.048016476853505,1.051280560863681,1.0692858754812098,1.0834214390685366,1.0479935466405697
2017-02-07,1.0363388373922742,1.031639475310787,1.045073901672055,1.0429374527096096,1.0595379078585316,1.0758414683351463,1.0440938086077047
2017-02-08,1.0337249779149262,1.0292110500087341,1.0392092086290743,1.0378066307610412,1.054499999078172,1.0735268666652098,1.0441831155855565
2017-02-09,1.0355998783246048,1.0332418989955816,1.0364088844644495,1.0332530380289877,1.0559660785979927,1.0769455055043273,1.0452965456805197
2017-02-10,1.04035013135797,1.0375642162277539,1.0427920580132966,1.0349235587038992,1.0550952360779122,1.076732703753754,1.047100476862051
