,Total_Return,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Maximum_Drawdown,Calmar_Ratio,VaR_95,CVaR_95,Positive_Days_%,Observations,Beta_to_NIFTY,Alpha_Annualized,Excess_Return_Annualized,Tracking_Error,Information_Ratio
Equal_Weight,3.6821090674335917,0.1803661236817431,0.1546515804254864,1.1502157175361223,1.8227078688172722,-0.32383526556489584,0.5569687518964735,-0.014286997650078775,-0.022241450861775907,0.5601023017902813,2346.0,0.8256328878603261,0.07406608421281649,0.05214084357326943,0.08036707012365639,0.6487836808414589
Minimum_Variance,3.0498660411645053,0.16211573126040757,0.13952751204590874,1.1470402834872322,1.854098456128041,-0.2986456434255079,0.5428364177723041,-0.0122463281582991,-0.019255767919632204,0.5468883205456095,2346.0,0.6880018647062625,0.07353306003775867,0.03430184199748067,0.09689443254934745,0.35401251748918655
Maximum_Sharpe,3.588750177535874,0.17781518553109787,0.15963173391868038,1.1056082290452607,1.7813015528650866,-0.3017115107994687,0.5893549936491552,-0.014520333897919575,-0.022595652829702762,0.551150895140665,2346.0,0.7672905704268532,0.08000963435359297,0.05074832366332973,0.10560287770348348,0.4805581511312898
Risk_Parity,3.4916919081936095,0.17511357207901201,0.19672064967568623,0.9192490400679598,1.4656140562687234,-0.33562110074054774,0.5217597215807469,-0.0192898768497596,-0.028424530541385058,0.5537084398976982,2346.0,0.9583164452180702,0.060334800068509296,0.055093433401993255,0.11885776656612412,0.46352405058312396
Random_Forest,14.584564854681222,0.34312224228915866,0.1611771653077449,1.911969805818229,3.2413936700187,-0.2383004009050952,1.439872702630532,-0.014254650456398125,-0.022068685775456977,0.5622335890878091,2346.0,0.7797954872029111,0.21011295799050037,0.18242403848185496,0.10477273685292181,1.741140338234542
XGBoost,21.902046898917053,0.39982406111354796,0.16278971704809467,2.1489785284542195,3.6658229814764396,-0.2197949785575496,1.8190773225916115,-0.0143035442879227,-0.021948731476876246,0.5682011935208866,2346.0,0.7832119255838896,0.25134910189311244,0.22408977161556654,0.10637938380742873,2.1065150369851815
NIFTY_50,1.842295738196595,0.11874662145700055,0.1637273257458411,0.7679954118906188,1.174960951102351,-0.38439852452742096,0.3089153934786495,-0.014260705691794717,-0.023877283333833148,0.5417732310315431,2346.0,,,,,
