Date,RMSE,MAE,Number_of_Stocks,Turnover
2017-01-18,0.06811637349320852,0.05224279630223812,15,1.0
2017-02-17,0.06739836627561833,0.05197008749034121,15,0.8572254066229209
2017-03-22,0.06692704063655311,0.05196205847024261,15,1.089224265808831
2017-04-24,0.0669172383106069,0.05186413541128062,15,0.5286070338401105
2017-05-24,0.06817671560274256,0.05263975462402663,15,0.7999999999999998
2017-06-22,0.06775305371429466,0.05238857713514957,15,1.2000000000000002
2017-07-24,0.06935281105381107,0.05329895086188565,15,1.1278620292766104
2017-08-23,0.06870704619093256,0.05254033238319533,15,1.5675610313406678
2017-09-22,0.06807330871126183,0.051957791914974204,15,0.6919290970635104
2017-10-25,0.06941286433579079,0.05254709191770855,15,0.5532735172710679
2017-11-23,0.06670010195723605,0.05037614994233097,15,0.9461427902783284
2017-12-22,0.06688678487193322,0.05073451887101907,15,0.9365148314341288
2018-01-23,0.06783832683202325,0.05120548849985086,15,1.115236232683644
2018-02-23,0.06751200792253864,0.05107454250281301,15,0.5427296483638916
2018-03-27,0.06697757733881589,0.05078766597002491,15,0.9579118509023649
2018-04-27,0.0668336600922774,0.05074763939651036,15,0.9568718176873372
2018-05-29,0.06679428664032884,0.05097072650871994,15,0.5851952172127977
2018-06-27,0.06720420333038389,0.051483774955740316,15,0.9077190466937033
2018-07-26,0.06696139553643886,0.05137618794480357,15,0.8190858701130791
2018-08-28,0.06749065936460974,0.05190124440189915,15,1.4011005313314042
2018-09-28,0.06990600565587952,0.05347068139893399,15,0.9589338789745774
2018-10-31,0.0698229827549724,0.05328428437013282,15,0.3675718040768242
2018-12-03,0.06967180520565038,0.052988916279483336,15,0.956259064008212
2019-01-02,0.06958826555367083,0.05286578956235969,15,0.7133639454046629
2019-01-31,0.06891949345590286,0.052502492989563464,15,0.6933863619391116
2019-03-05,0.06967770604143865,0.05318265026876163,15,0.8572998678148543
2019-04-05,0.06978826633608926,0.053173787361936994,15,0.666062739236356
2019-05-10,0.06905192915295687,0.053245790384860076,15,0.4926331989035041
2019-06-11,0.06869658527873472,0.05312623550440901,15,0.7773542114705502
2019-07-10,0.06909109184001334,0.05363068333664972,15,0.8305906938494048
2019-08-08,0.06833227069630843,0.053104757174664036,15,0.9984020887839253
2019-09-12,0.0675080366542409,0.05262265482245436,15,0.6401248417624322
2019-10-15,0.06893178532485,0.05361191795213328,15,1.00649999284497
2019-11-15,0.0694648005942332,0.054169015722680555,15,0.6352069564238807
2019-12-16,0.06943678642819882,0.054193577812896264,15,0.8980909457263571
2020-01-15,0.06983314580367402,0.05452459568657068,15,0.8541631491939844
2020-02-13,0.07244563259557169,0.05597604870295022,15,0.6058612210398261
2020-03-17,0.08253382139078605,0.06207572844112771,15,1.6499480957410133
2020-04-21,0.08574821483542668,0.06406206048837926,15,1.4865536450078376
2020-05-21,0.08516458739387217,0.06334458422516785,15,0.9412549468243808
2020-06-22,0.08444612605202184,0.06239127019026637,15,1.1830309538040737
2020-07-21,0.08587525996546053,0.06342004649789723,15,1.2237976308149796
2020-08-19,0.08555250480948524,0.06306775882405073,15,0.3850175093752871
2020-09-17,0.08767449220531386,0.06444397001837537,15,0.9236611284094898
2020-10-19,0.08774455097987525,0.06431830520672266,15,1.0219314753608877
2020-11-17,0.09117479650003127,0.06658495144492979,15,1.134541108069002
2020-12-17,0.09124314934250548,0.06696088607858797,15,0.7994169245231484
2021-01-18,0.09147034541556207,0.06734040155675527,15,0.7036974388980628
2021-02-17,0.0910695123926441,0.06693901270904379,15,0.9077450536401798
2021-03-19,0.09219412217181802,0.06764335546049818,15,0.6510937101174592
2021-04-23,0.09263065568950767,0.06803746093400179,15,0.8194845951921433
2021-05-25,0.09180920745427054,0.06729249739507692,15,0.6999999999999995
2021-06-23,0.09167730763884221,0.0671086142468515,15,0.44999925906806193
2021-07-23,0.09341631226147395,0.06841462233693624,15,0.5895603777206464
2021-08-24,0.09408824604679177,0.06898191277866071,15,1.0580391792801869
2021-09-23,0.09594756623560072,0.07027556677018136,15,1.0203613741404638
2021-10-25,0.09580601844430547,0.07003879548820077,15,1.2488892135299121
2021-11-25,0.09575997921340032,0.07029175453111866,15,1.0957510043185095
2021-12-24,0.09673173173755671,0.07139647673696763,15,0.8097738688048346
2022-01-24,0.09760323302835078,0.07197479015791086,15,0.7300461831645791
2022-02-23,0.09519395030908175,0.06998567533418563,15,0.7237365195628559
2022-03-28,0.08502143566129441,0.06443796329618226,15,0.5779871595650286
2022-04-28,0.08590359208534055,0.0649061817713479,15,0.5149838526115796
2022-05-30,0.08550909352000839,0.06490352149405823,15,0.8600649791420532
2022-06-28,0.08579662884818785,0.06554956625642687,15,0.7679186777221818
2022-07-27,0.08433392084982248,0.06430110575280011,15,0.8719406774781077
2022-08-29,0.08450807639761033,0.06440151324065065,15,0.8658310081837446
2022-09-28,0.08215954808320411,0.06224752636715409,15,0.5246786339668653
2022-10-31,0.08056708024309647,0.06103448734478596,15,0.9365588575055198
2022-11-30,0.07816437034545816,0.059763866036635596,15,0.7094435441412579
2022-12-29,0.07637774501204958,0.05842509926506169,15,0.26895064197411206
2023-01-30,0.07541052819180709,0.05747868445189702,15,0.31870234280459125
2023-02-28,0.07388161389325998,0.056343806022526796,15,0.4189237976859391
2023-03-31,0.0740695570824215,0.05660136844777494,15,0.39867125007555976
2023-05-05,0.07112172601394957,0.05443795858019817,15,1.061775394464903
2023-06-05,0.07039444263052774,0.05404174529625512,15,0.7546930128837744
2023-07-05,0.06994045713853196,0.05363814357367402,15,0.5438815756128225
2023-08-03,0.06761990419265711,0.052268453438627877,15,0.7475875756605883
2023-09-04,0.06592383509233166,0.05083645855806592,15,0.8012510902783134
2023-10-05,0.06185587277220477,0.04878363921361,15,0.533081583723441
2023-11-06,0.061738751729984796,0.04883052980159401,15,0.5234172499939447
2023-12-07,0.061604186500667533,0.048769836417092455,15,0.6803161990903216
2024-01-08,0.061749505899445514,0.04904099542133159,15,0.5468536771257162
2024-02-08,0.06112262085593428,0.04888110895742278,15,0.9237906473110907
