,Average_RMSE,Average_MAE,Average_Turnover,Average_Stocks,Rebalances
Random_Forest,0.07199225682863984,0.054941088944761164,0.7715070864820418,15.0,112.0
XGBoost,0.06619867801013149,0.05051876268746417,0.8714795771441456,15.0,112.0
