KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS,Date
0.07813523441596298,0.0,0.0,1.6401558598799144e-16,0.13379946554574357,0.0889463106547485,0.0,0.0,0.08728017112909928,0.13811732708115618,0.11098858259520542,0.12370493568528972,0.0,0.12780116501360975,0.11122680787918433,2017-01-18
0.08190989266115861,0.0,0.0,0.0,0.1324103884992861,0.08037423086613915,0.0,0.0,0.1006397851957184,0.13847463744237343,0.10465181573121496,0.1221155615399386,0.0,0.12794139220828038,0.11148229585589042,2017-02-17
0.08136958319924774,2.386698257962998e-16,1.0812256686662528e-16,0.0,0.13471806453749616,0.08481852334258182,2.8022526218859576e-16,1.830404017272655e-17,0.09910575249997641,0.1386280284347362,0.10298432224372431,0.11845816997395348,5.0137232396437655e-17,0.12857884373696526,0.11133871203131783,2017-03-22
0.08691313496538439,0.0,0.0,0.0,0.14199453380079377,0.0,0.0,9.265934662690804e-19,0.11811927563986684,0.1452492476076541,0.13132645765542564,0.1300843169968525,0.0,0.1321288391701831,0.11418419416383968,2017-04-24
0.09555007408338619,0.0,0.0,0.13205957640444013,0.14891306578607788,0.11743930974457252,2.261468112607193e-17,0.0,0.0,0.14728820168775736,0.0,0.10985833339068045,0.0,0.13397666694072277,0.1149147719623626,2017-05-24
0.05891963363650072,8.389329525028813e-17,2.932235059048286e-17,0.1353451517396861,0.1499999999999992,0.11373313433043378,0.0,0.0,0.0,0.1499999999999992,0.13953705089904334,0.0,0.0,0.13670183449435036,0.11576319489998711,2017-06-22
0.0,5.773458779178359e-17,5.385496513512217e-17,0.14999999999999647,0.1499999999999964,0.14012645822807096,1.0648599258747733e-16,6.25207474602439e-17,2.9619426771812404e-16,0.14999999999999633,0.14999999999999647,2.545401519874739e-16,6.809691484037479e-16,0.14118077303272142,0.11869276873922072,2017-07-24
0.0,0.0,2.5984065856006345e-17,0.15000000000000005,0.14999999999999994,0.1419307087582419,0.0,3.957034452663552e-19,0.0,0.15000000000000005,0.15000000000000005,0.0,2.474935312468302e-16,0.14169125308933594,0.11637803815242195,2017-08-23
8.289961973452305e-17,9.366752607649333e-17,0.0,0.1488015220349303,0.14999999999999972,0.1286412320064145,2.1413975161505136e-16,3.3096483939806337e-18,0.0,0.14999999999999972,0.1499999999999995,1.152958743504715e-16,2.839474364460342e-17,0.14717466007104485,0.12538258588761098,2017-09-22
6.11941824049173e-17,0.0,8.107446238374949e-17,0.14999999999999986,0.1499999999999998,0.12252719413489356,0.0,5.097277080294151e-17,0.0,0.1499999999999999,0.14999999999999988,3.368937161760755e-18,0.0,0.14999999999999994,0.12747280586510695,2017-10-25
