KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS,Date
0.09681668387514945,0.0,0.0,0.0,0.0,0.0,0.15,0.14876398499118454,0.003171159492280111,0.0,0.0012481716413860282,0.14999999999999994,0.15,0.15,0.14999999999999997,2017-01-18
0.0,0.0,0.14999999999999994,0.15,0.0,0.0,0.15000000000000002,0.0,0.09999999999999987,0.15000000000000002,0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,2017-02-17
0.1499999999999998,0.0,0.0,0.044795920517162184,0.0,0.0,0.0,0.1311040731938913,0.0,0.11421665372479042,0.14999999999999994,0.14999999999999997,0.1499999999999999,0.0,0.10988335256415636,2017-03-22
0.15000000000000005,0.04355221962178752,0.0,0.0,0.0,0.0,0.0,0.15000000000000005,0.05644778037821226,0.15000000000000005,0.14999999999999994,0.15000000000000005,0.0,0.0,0.15000000000000005,2017-04-24
0.15000000000000005,0.14999999999999997,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.14999999999999994,0.14999999999999997,0.15000000000000005,0.0,0.0,0.09999999999999985,2017-05-24
0.0,0.0,0.0,0.15000000000000022,0.15000000000000022,0.0,0.03274024057694863,0.15000000000000022,0.0,0.15000000000000005,0.06725975942305044,0.0,0.15000000000000016,0.0,0.15000000000000016,2017-06-22
0.0,0.0,0.0,0.0,0.06062208736045157,0.14999999999999997,0.14999999999999994,0.14999999999999997,0.14999999999999997,0.0,0.0,0.039377912639548845,0.14999999999999997,0.14999999999999994,0.0,2017-07-24
0.0,0.14873808426524635,0.15000000000000002,0.0,0.0,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.0,0.10126191573475339,2017-08-23
0.14999999999999974,0.055741639917769675,0.0,0.0,0.0,0.0,0.0,0.10965621073332968,0.15000000000000002,0.0,0.12128525285095708,0.11331689649794366,0.15000000000000002,0.15000000000000002,0.0,2017-09-22
0.0,0.1500000000000002,0.15000000000000008,0.019140669273076817,0.0,0.0,0.0,0.1500000000000002,0.1496973093911341,0.0,0.1499999999999999,0.08116202133578877,0.0,0.0,0.1500000000000001,2017-10-25
0.14999999999999988,0.0,0.15000000000000002,0.11223183363311637,0.042648107051874384,0.0593483484144043,0.0,0.15000000000000002,0.0,0.0,0.15000000000000002,0.013009705991458983,0.15000000000000002,0.0,0.022762004909145858,2017-11-23
0.1499999999999999,0.011804996592028385,0.0,0.15000000000000002,0.06000745354037893,0.0,0.028187549867592778,0.15000000000000002,0.0,0.0,0.1499999999999999,0.14999999999999997,0.0,0.0,0.15,2017-12-22
