KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS,Date
0.0,0.0,0.0,0.030215793466879953,0.0,0.0,0.009888622209478344,0.0786127033114609,0.0,0.15,0.15,0.15,0.14999999999999997,0.1312828810121808,0.15,2017-01-18
0.0,0.0,0.15,0.15,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.10000000000000046,0.0,0.1499999999999997,0.15,2017-02-17
0.04461213290441568,0.0,0.0,0.11320559975754552,0.0,0.0,0.0,0.15000000000000002,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.09218226733803861,2017-03-22
0.04351421574190602,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.15,0.02187467122921039,0.15,0.15,0.15,0.0,0.034611113028883596,0.15,2017-04-24
0.0,0.15000000000000013,0.0,0.0,0.15000000000000005,0.15000000000000013,0.09999999999999921,0.0,0.0,0.1500000000000001,0.15000000000000013,0.15000000000000005,0.0,0.0,0.0,2017-05-24
0.0,0.0,0.0,0.15000000000000002,0.15000000000000002,0.0,0.05610954905787385,0.15000000000000002,0.0,0.15000000000000002,0.04389045094212584,0.0,0.15000000000000002,0.0,0.15000000000000002,2017-06-22
0.0,0.0,0.0,0.0,0.036068985361695054,0.15000000000000002,0.15000000000000005,0.15000000000000005,0.15,0.0,0.06393101463830489,0.0,0.15,0.15000000000000005,0.0,2017-07-24
0.0024558907243825688,0.10579266880590102,0.15000000000000005,0.0,0.0,0.0,0.0022884696913612326,0.15000000000000005,0.0,0.15000000000000005,0.15000000000000005,0.13946297077835493,0.0,0.0,0.15000000000000005,2017-08-23
0.012159877335395725,0.09150245430985142,0.12188062460262511,0.0,0.0,0.0,0.0,0.14999999999999997,0.14999999999999994,0.004494468418102433,0.14423904263492837,0.1499999999999999,0.08969656230598638,0.08602697039311079,0.0,2017-09-22
0.04476814072434963,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.0,0.14999999999999994,0.15000000000000002,0.0,0.03752162586736969,0.0706020969432379,0.09710813646504278,0.0,0.15,2017-10-25
0.1137685190009313,0.0,0.14999999999999997,0.06159328551257076,0.07048599034976245,0.0547009449912618,0.06238793618438774,0.15,0.0,0.0,0.13953262215701212,0.04753070180407382,0.14999999999999997,0.0,0.0,2017-11-23
0.14999999999999994,0.07718133150426743,0.0,0.14999999999999994,0.14999999999999997,0.0,0.03337748883969459,0.04404126232991668,0.04894813710313289,0.0,0.0775637361171177,0.14999999999999997,0.08338160032886821,0.0,0.03550644377700264,2017-12-22
0.14999999999999994,0.0,0.11243226110578232,0.014959020999393124,0.0,0.14999999999999997,0.0,0.15,0.0,0.12407014575955196,0.0,0.15,0.1485385721352727,0.0,0.0,2018-01-23
0.13649163961948854,0.0,0.15,0.06433971939557982,0.05337058534070243,0.10482419315043097,0.009424781223919654,0.06217753654940937,0.0,0.06725570307969858,0.10485089116554729,0.14024617044919183,0.09024865086465941,0.016770129161372157,0.0,2018-02-23
0.14999999999999988,0.0671030232071939,0.03711724720196429,0.14904177276884356,0.0,0.0,0.0,0.0,0.11325857891300854,0.0,0.06349388356892943,0.12935293389819588,0.14999999999999997,0.0,0.14063256044186434,2018-03-27
0.1499999999999999,0.08071868174465019,0.0,0.10749883406071084,0.01482025030621238,0.15,0.15,0.15,0.02417387865286654,0.0,0.022788355235560304,0.0,0.1499999999999999,0.0,0.0,2018-04-27
