Date,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity,Random_Forest,XGBoost
2017-01-18,1.001486492362263,0.9980742442527668,1.0047279267205877,1.0064338743696264,1.0007857618670521,1.003343399280506
2017-01-19,1.003777572011873,0.9993955116237704,1.0092149973113285,1.0082598597659098,1.001277244230286,1.0072291018285084
2017-01-20,0.9931848001130542,0.9944243051407134,0.9974228598701254,0.9930252009526962,0.9907968089819555,0.9968984472581005
2017-01-23,0.9974238599523392,0.997550064168613,1.0041606659626254,0.996699700114598,0.9920195863705104,1.0053189725069285
2017-01-24,1.0048402403562087,1.003935658335032,1.0136031846790758,1.0094363380447333,1.0000421679573703,1.0111240938953723
2017-01-25,1.014448673861092,1.0101983638183156,1.030013811678484,1.0274067401265798,1.0117272348429345,1.0335730417833455
2017-01-27,1.0148153202785373,1.009238115821086,1.028469571646674,1.0290108263482676,1.0171768036492224,1.0316331011608844
2017-01-30,1.019607368031681,1.0156232237129819,1.0259179468189763,1.0282052532463872,1.0300319982161459,1.0398254096964512
2017-01-31,1.0104340131549503,1.0066963178184725,1.0192712986580785,1.0211353832171437,1.0230774522066277,1.0375994022777555
2017-02-01,1.0185395749828758,1.0107199939075526,1.0328353579405107,1.0313074447867228,1.0345563328605865,1.0600389545034758
2017-02-02,1.0287601743833505,1.0224609308993524,1.039292711544893,1.0374830420670684,1.046882450495921,1.0655705433482916
2017-02-03,1.0361433636172668,1.0286657733489089,1.039486552910256,1.0438449564615653,1.0589468592417142,1.072248085180698
2017-02-06,1.0440890586393703,1.0389365273328632,1.048016476853505,1.0512805608636813,1.0692858754812098,1.083421439068537
2017-02-07,1.0363388373922748,1.0316394753107871,1.045073901672055,1.0429374527096098,1.0595379078585316,1.0758414683351467
2017-02-08,1.033724977914927,1.0292110500087344,1.0392092086290743,1.0378066307610414,1.054499999078172,1.0735268666652102
2017-02-09,1.0355998783246054,1.033241898995582,1.0364088844644495,1.033253038028988,1.0559660785979927,1.0769455055043278
2017-02-10,1.0403501313579706,1.0375642162277545,1.0427920580132966,1.0349235587038994,1.0550952360779122,1.0767327037537544
2017-02-13,1.0440294294526642,1.0437395103287106,1.0505927535924153,1.0372089129255317,1.054881896882449,1.0779885873991333
2017-02-14,1.0470836573641205,1.0461756779390599,1.0491610607970494,1.0379307168982403,1.0607971278137727,1.0860153397406218
2017-02-15,1.0326450546612316,1.0397896059621525,1.0431546766968327,1.0163083996948907,1.0336741524604727,1.066877583856038
2017-02-16,1.045296471949651,1.0491363031863437,1.0531453306640457,1.0329453376033138,1.0520230592092215,1.0761739061608122
2017-02-17,1.0495366196528213,1.0507861897652786,1.0539479636150435,1.041518552844957,1.0586374322895347,1.0818375857354103
2017-02-20,1.057419542432794,1.054713112735028,1.0647277893057159,1.0530364437518065,1.068574809499795,1.0917489196178547
2017-02-21,1.0568793494544237,1.0535766108119473,1.06119888267448,1.0532386962780165,1.0691008408087188,1.0912183018003643
2017-02-22,1.05365393449265,1.049987897523792,1.050102672482412,1.052054040644326,1.0698361489614816,1.088361877941542
2017-02-23,1.0597665978519861,1.0582909730791434,1.057406083881643,1.0557657273667524,1.0781766766508734,1.0966669996421081
2017-02-27,1.0522799191885608,1.0520105494608143,1.0515846903876809,1.0473183411401692,1.070789437263955,1.092775156065536
2017-02-28,1.0533572148224009,1.0502620451296758,1.0503001731335526,1.0497145318216239,1.0756644350973947,1.0960276242654095
2017-03-01,1.0637376447759987,1.057480882353488,1.0603035547820066,1.0648066866068175,1.0941932444030953,1.111226840610021
2017-03-02,1.0467788985520528,1.0468086647887107,1.045352625116712,1.041153720790455,1.0725995181659886,1.0874058664523614
2017-03-03,1.0453396121207255,1.043780687061482,1.0415276926502703,1.0380414838282515,1.07330435852001,1.0936187510403141
2017-03-06,1.0492131967570895,1.0498167788427768,1.0478681757023856,1.0402016147135027,1.0734360804924918,1.0930004276774397
2017-03-07,1.0472149511135755,1.0495843022077878,1.0399117579889403,1.0371682084223734,1.070622447051082,1.0883542980050513
2017-03-08,1.0421111867273172,1.0494637559772433,1.0374128012017827,1.03051614494702,1.0612364420412521,1.0807140364814403
2017-03-09,1.0334601147011429,1.0390676209826943,1.037904363262709,1.0208199142811716,1.0551288371393561,1.0762853154178964
2017-03-10,1.0322298719939365,1.0386006543560913,1.0406495067051007,1.0205206411369983,1.047509722721454,1.0718002351341174
2017-03-14,1.0446847217592972,1.0492932127095755,1.0515738881472598,1.035347701628758,1.0678427397732075,1.0949559084919422
2017-03-15,1.044189639054264,1.0473206598621738,1.0533256442256507,1.0377366622977489,1.0689396551225423,1.0953734582296033
2017-03-16,1.0552645872186752,1.055297075816588,1.0677285122888551,1.0525882277973058,1.0837368545856192,1.1105438705705188
2017-03-17,1.055831982068629,1.0584808461373034,1.0727664610352712,1.0481197559658204,1.091215461711837,1.1198744823402267
2017-03-20,1.0551457618419084,1.0589912696017862,1.0723696310396165,1.0479829132678382,1.0860695380907348,1.1151479759814564
2017-03-21,1.0558249782438307,1.0607894264071276,1.0810005358395263,1.0450481586001674,1.085429485832652,1.1175345741679341
2017-03-22,1.0483852626582244,1.055074887437568,1.0685475076566546,1.0398490515364311,1.0765792235151317,1.108040886702968
2017-03-23,1.0547878979757275,1.0613424935167761,1.0737679675984984,1.0458376940824137,1.0802004756560066,1.111567675136967
2017-03-24,1.0553858858007512,1.064374514912345,1.0779877489842333,1.045904894354321,1.0803187050654077,1.1145936460214643
2017-03-27,1.0472631271740085,1.060532488551342,1.0703608445316202,1.0333735625105944,1.0753914983645916,1.1095209505325436
2017-03-28,1.0482618976372124,1.0618169743047894,1.0736855845313464,1.0359350505852478,1.0753949476290792,1.109725920622669
2017-03-29,1.0499819137995414,1.0645946201068033,1.079568115094789,1.0347957069725395,1.0738888615124778,1.1081246178032467
2017-03-30,1.050906782661615,1.070440314884433,1.0813442205635133,1.0308036795807987,1.0802838714865248,1.1149831527189256
2017-03-31,1.0537778615184372,1.0737490504155613,1.0848120470223068,1.036215769811162,1.0838148189284815,1.119540173719656
2017-04-03,1.052237891370585,1.068792658724123,1.0814523992866272,1.0427159320518724,1.0838747572929106,1.120954499284503
2017-04-05,1.0545206885628773,1.071338516144309,1.087077449465412,1.0474627316733163,1.0851133071179542,1.125488578877181
2017-04-06,1.0568142619932988,1.0696579293370367,1.0869269262744505,1.0530794931839942,1.0838677567132724,1.125940537770659
2017-04-07,1.048227361944215,1.0631159484935473,1.0804147614906787,1.0417073329613993,1.0758263606547989,1.1163508090944554
2017-04-10,1.0483974873689528,1.0602270548486141,1.082852734978943,1.0463763595700357,1.0789691733945843,1.1203948178085223
2017-04-11,1.0541604783759118,1.066520852962853,1.0881189241816924,1.048471759236694,1.0829752442610177,1.1250717200908993
2017-04-12,1.0509354489078704,1.0621362257780225,1.0844016842591508,1.047736952588062,1.0833125913787074,1.1259401226377388
2017-04-13,1.0397262899903614,1.050047993493051,1.0680235809280014,1.0428386679388697,1.0765162940880326,1.1199100483197812
2017-04-17,1.0381165645608725,1.0430234336993642,1.062074601202909,1.0454740999152725,1.0775865941067533,1.1264669998833359
2017-04-18,1.0292563763555456,1.0412290434343294,1.057199983828398,1.0303198152304593,1.0652370536513167,1.1130448101034398
2017-04-19,1.030696514954858,1.0415723852587682,1.0623187394324198,1.0331210526475911,1.0621015198855512,1.1105636704818322
2017-04-20,1.0345579807764307,1.0462268945939637,1.0650910217312675,1.0341498493447192,1.0683061309141948,1.1183627134532628
2017-04-21,1.0370627717229066,1.0428893952880893,1.0625426654299297,1.0397331332112854,1.0737216388557693,1.1238277832433814
2017-04-24,1.042194271381985,1.045115850194643,1.0673513750639954,1.0473213100847576,1.0792580928623339,1.1316426532564205
2017-04-25,1.0523748722880037,1.0547081874078217,1.0773353739168652,1.0567547601285365,1.0876866620787191,1.1411069066107433
2017-04-26,1.0539777117955373,1.0614397920083736,1.0860629380666962,1.05822400286002,1.087456995300713,1.1440930315617475
2017-04-27,1.05759054690672,1.0709623244309143,1.0900790859287954,1.0591415496296916,1.100038675035241,1.1587823409865103
