,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Maximum_Drawdown,Calmar_Ratio,VaR_95,CVaR_95,Positive_Days_%,Observations,Sharpe_Rank,CAGR_Rank
Equal_Weight,0.18088829662667538,0.15446334489834967,1.1542937586100066,1.8286869402215906,-0.3238352655648967,0.5585812166291855,-0.014282059849640262,-0.02224145086177596,0.5595238095238095,2352.0,3.0,3.0
Minimum_Variance,0.16271141706249104,0.13936002353156074,1.1519304230939378,1.8615297124782566,-0.29864564342550803,0.5448310418868594,-0.01220556920432914,-0.019255767919632252,0.546343537414966,2352.0,4.0,6.0
Maximum_Sharpe,0.1785737334855937,0.15944097796101236,1.1107804212240653,1.7891998432912612,-0.30171151079946845,0.5918691435153169,-0.014505436310672587,-0.022595652829702807,0.5505952380952381,2352.0,5.0,4.0
Risk_Parity,0.17546590579495636,0.19647823861285496,0.9216666749415089,1.4690083339418583,-0.33562110074054785,0.5228095176608112,-0.01928974213538968,-0.028424530541385114,0.5531462585034014,2352.0,6.0,5.0
Random_Forest,0.3434192863367864,0.1609811281497402,1.9154772642772466,3.2464943480419937,-0.2383004009050953,1.4411192135323154,-0.014235989998177954,-0.022068685775457016,0.5616496598639455,2352.0,2.0,2.0
XGBoost,0.39996752558589366,0.162590980097703,2.1520374686794064,3.6700996773497683,-0.21979497855755004,1.8197300421090745,-0.014301675008265173,-0.021948731476876294,0.5676020408163265,2352.0,1.0,1.0
