Date,RMSE,MAE,Number_of_Stocks,Turnover
2017-01-18,0.05999180002302803,0.04620635993259764,15,1.0
2017-02-17,0.059915938178134856,0.04643082315929885,15,1.0936576810154397
2017-03-22,0.059951230767919673,0.04664558000672772,15,1.4622081463877816
2017-04-24,0.06030687920291,0.04697844977208378,15,0.38959184103432426
2017-05-24,0.061399830099447036,0.047642713615477145,15,0.5128955607564251
2017-06-22,0.06175372790529587,0.04790845921006666,15,1.3654804811538996
2017-07-24,0.06291564820229115,0.04855318488771236,15,1.2132753441252
2017-08-23,0.061786078199030064,0.0475691544339779,15,1.6212441747209023
2017-09-22,0.06169655283405451,0.04749850485635989,15,1.1999999999999997
2017-10-25,0.06279972105914199,0.04805622187862002,15,0.9649151315420414
2017-11-23,0.060133479938549825,0.04589026752117557,15,0.9901752396526367
2017-12-22,0.059994777528438493,0.04588655675774072,15,0.7186966968288091
2018-01-23,0.06118219234080752,0.046433848049560196,15,1.0067839347983076
2018-02-23,0.0600927098447233,0.045717984273828394,15,1.06339263486508
2018-03-27,0.0596066998663962,0.045458789283819974,15,0.7956380645313006
2018-04-27,0.05966863774947359,0.04552728070938887,15,1.1639164857860154
2018-05-29,0.06025380610832317,0.04615759075009883,15,0.7151272715252361
2018-06-27,0.06054186963053236,0.046525618032303935,15,1.3084924296483615
2018-07-26,0.06038894077085132,0.04657291313986655,15,0.7409496263265138
2018-08-28,0.0609375188111974,0.04700166165133324,15,1.383779153679517
2018-09-28,0.06314720208893614,0.048624109597984494,15,0.8775751872145614
2018-10-31,0.06355198010100184,0.04870169584487876,15,0.46689336697823447
2018-12-03,0.0636367547156118,0.048610736642256,15,1.1698808130127216
2019-01-02,0.0637729815582742,0.048509002325725546,15,0.7914504342648051
2019-01-31,0.06332638489646596,0.04839025661209431,15,1.1436470098961715
2019-03-05,0.06415561189669662,0.049200848694190204,15,0.9054464320264122
2019-04-05,0.06432837670412901,0.04939291610474432,15,1.0186040314409333
2019-05-10,0.06414615673134462,0.049340917923562586,15,1.0868704218893088
2019-06-11,0.06394061903323126,0.04943823626235612,15,0.7439459104808042
2019-07-10,0.06442726586456703,0.04995594917319304,15,1.2298140361046457
2019-08-08,0.06419253247776284,0.04967395850056087,15,1.074716270190914
2019-09-12,0.06381804308193759,0.04956333414572752,15,0.6073508487920598
2019-10-15,0.0645853323164867,0.05016041374864791,15,0.993153510789452
2019-11-15,0.06488052331434845,0.05053313228668868,15,0.9455121102078297
2019-12-16,0.06492385186224242,0.050526042990704796,15,0.7519861457192897
2020-01-15,0.06501349024236545,0.05066328081637168,15,1.2877943007425354
2020-02-13,0.06692059224907669,0.05178058743155057,15,0.5522710096780128
2020-03-17,0.0746473071160025,0.05636859663707448,15,1.2422943470370846
2020-04-21,0.07889026344086394,0.059128972879193525,15,1.157705652962959
2020-05-21,0.07817090913063682,0.05853001544583837,15,0.9744162955379053
2020-06-22,0.0779203262688111,0.058098218100146565,15,1.3186421098044625
2020-07-21,0.080000276040466,0.059515827726849116,15,1.361465005560208
2020-08-19,0.07965433221966503,0.05926806160943967,15,0.4586903465465755
2020-09-17,0.08161474174330927,0.060243991815043856,15,0.8000000000000002
2020-10-19,0.08130058395422447,0.05985577613571309,15,1.1147919834404643
2020-11-17,0.08458246088835354,0.06226081409810439,15,0.8586700587516081
2020-12-17,0.08474585491970238,0.06251754316749825,15,1.0739407054743315
2021-01-18,0.084681753284788,0.06263258686847452,15,0.664494949531175
2021-02-17,0.0841503926266772,0.06189024161538414,15,0.6823757506448568
2021-03-19,0.08430812401431101,0.06179695762951783,15,0.8417569205644222
2021-04-23,0.08458890010312851,0.06214880224416241,15,0.7934382738356707
2021-05-25,0.08439352663936228,0.06176048176059698,15,0.8644488679690727
2021-06-23,0.08454105987337932,0.06180534296598532,15,0.7015021347394694
2021-07-23,0.08671040781649127,0.06329831988864362,15,0.6943251266452024
2021-08-24,0.08765473760072907,0.06439558277579166,15,0.9159758362588926
2021-09-23,0.0893908554196195,0.06545580807706508,15,0.6570679045119914
2021-10-25,0.08887367518119774,0.06495132739887696,15,0.9969537370711612
2021-11-25,0.08920652001911207,0.06533784257001606,15,0.8573296762291399
2021-12-24,0.08946749896074303,0.0658706503296091,15,0.8723345443453447
2022-01-24,0.09086484968949433,0.06680750501417822,15,0.7973821352515434
2022-02-23,0.08915221120642634,0.06537787875793628,15,0.8497663818581996
2022-03-28,0.08059474808259451,0.060454692139149745,15,1.019739861362673
2022-04-28,0.08094075146236208,0.06083684318943612,15,0.7863529993901446
2022-05-30,0.0816912705870645,0.061670051024404024,15,0.8276907529596719
2022-06-28,0.08201304847826091,0.06225757335571455,15,0.8022674581215182
2022-07-27,0.08048682297503597,0.061332985863357475,15,0.84888259581032
2022-08-29,0.08020315123454448,0.060862055428721445,15,0.8043738753325838
2022-09-28,0.07668538759683746,0.058070279578275666,15,0.756669692510797
2022-10-31,0.07530184495383085,0.05678486206834126,15,1.1511235021712274
2022-11-30,0.07187945662798689,0.054589696342741224,15,0.8791432809426933
2022-12-29,0.07017281316289434,0.05326704579352625,15,0.4573478793426157
2023-01-30,0.06889962977495999,0.05239143717801975,15,0.7327312156395616
2023-02-28,0.06778255569346883,0.0515691782945546,15,1.1437123401279412
2023-03-31,0.06751136542990077,0.0514425699198162,15,0.726069997812814
2023-05-05,0.06568117846680355,0.0501667726354497,15,1.170908195842235
2023-06-05,0.06566985880949874,0.0502596836247978,15,1.103886416484586
2023-07-05,0.06522310822784644,0.0499890344201392,15,0.4241506348034898
2023-08-03,0.0623001747718816,0.04811180954206068,15,0.8578637337169044
2023-09-04,0.06018981389373095,0.04656225046471523,15,0.5876718765638667
2023-10-05,0.056588780383116384,0.04486000687190782,15,0.6215527504028191
2023-11-06,0.05719852956647051,0.04528648626295301,15,0.7022014880181819
2023-12-07,0.056942049713530035,0.04501156975310686,15,0.6993133001176173
2024-01-08,0.05673002686727939,0.04484538644229866,15,0.41612780134704574
2024-02-08,0.05586335449043287,0.04465218982496084,15,0.7693616832694123
2024-03-11,0.05491493520837752,0.04364727877950139,15,1.1032087369174104
2024-04-12,0.05394072605087211,0.042987998931745014,15,0.2748945023364544
2024-05-15,0.05214367112618676,0.04173178996508984,15,0.5870362357825685
2024-06-14,0.05180620120031171,0.04129297799956611,15,0.8111217514200451
2024-07-16,0.0514182162668127,0.041072776706494174,15,1.0538296002580438
2024-08-16,0.050823954567539194,0.040568392581711174,15,0.8277350704367854
2024-09-16,0.05070689082522119,0.04039242839354508,15,0.6790198978047395
2024-10-16,0.05186238016086564,0.04112220004394448,15,0.7084955235033223
2024-11-14,0.05223850307230048,0.04126691236884478,15,0.6728828592696092
2024-12-17,0.05239588875855032,0.041358117546554954,15,0.9721466207370599
2025-01-16,0.053039203734813065,0.0419294491608845,15,0.5909294164735073
2025-02-13,0.054235975739320416,0.04278694792889962,15,0.5621323979126708
2025-03-18,0.055807452504363385,0.04370026357323435,15,0.6582143098306845
2025-04-22,0.055870735277561416,0.04382712178274911,15,0.931128442971875
2025-05-22,0.05508704167299327,0.043081747099450035,15,0.5012766617283775
2025-06-20,0.05457645419697908,0.04240718176309151,15,0.8439412063111528
2025-07-21,0.05447462583140007,0.042237465438018346,15,0.5326929858767486
