,KOTAKBANK.NS,INFY.NS,WIPRO.NS,TECHM.NS,ONGC.NS,NTPC.NS,ITC.NS,NESTLEIND.NS,BRITANNIA.NS,SUNPHARMA.NS,DRREDDY.NS,APOLLOHOSP.NS,BHARTIARTL.NS,TATASTEEL.NS,DLF.NS
2016-02-01,0.09906598674301552,0.0809047208389252,0.15,0.10504062986774365,0.0,0.06786030308699303,0.14245145552679966,0.1366438363356892,0.06082797161289336,0.020643511624393627,0.054671342320572414,0.0,0.0818902420429744,0.0,0.0
2016-05-02,0.0713337250967051,0.010672824430066919,0.14999999999999994,0.08627085476703232,0.0,0.07851738387735271,0.10079946966364325,0.14999999999999997,0.06834283857898438,0.039347354562940424,0.048502445924471574,0.060979606926048646,0.13523349617275468,0.0,0.0
2016-08-01,0.11951129559733269,0.018278375440727173,0.14999999999999997,0.04598100643978957,0.0,0.044900539694821384,0.07562935864849711,0.14999999999999997,0.07259573895952402,0.07041941518497265,0.0378514362045412,0.1092713724491058,0.10556146138068837,0.0,0.0
2016-11-01,0.15,0.0612432823798641,0.14999999999999997,0.0,0.001615628786175111,0.07070638136938363,0.05403069087551017,0.15,0.050203897772741674,0.0393138396548541,0.041093599300693326,0.11771090472629382,0.11408177513448403,0.0,0.0
2017-02-01,0.14586275732643572,0.07512859630700945,0.1499999999999999,0.0,0.02646552304132966,0.06824191145562951,0.01634424426662902,0.1466885917101544,0.03986255410252933,0.04295753916686034,0.07288688468467422,0.11179487608573062,0.10376652185301774,0.0,0.0
2017-05-02,0.15000000000000002,0.08275746700757716,0.15000000000000002,0.0,0.07262566100930395,0.07672484294779189,0.054225920473608615,0.1159331206191635,0.05928258167178775,0.030452165487743724,0.08991790360589173,0.05924970303680695,0.05883063414032459,0.0,0.0
2017-08-01,0.1367087345788976,0.11803770977829912,0.14699788375139425,0.0,0.10155358883388593,0.09680118139440141,0.05752003891972459,0.130976215287992,0.05586567781026032,0.0019381331269897636,0.10164018698797515,0.023454118593685996,0.028506530936493964,0.0,0.0
2017-11-01,0.10773805174794154,0.04628408585324245,0.15,0.02678010899006705,0.11428204400723316,0.11011933437821463,0.054930577060613786,0.12769329550038602,0.09452530220727814,0.0,0.08266502388125815,0.0359733603759914,0.04900881599777367,0.0,0.0
2018-02-01,0.1445457011543678,0.045505840994026214,0.13724992708401648,0.0222318268913416,0.081242910737516,0.10740792045756244,0.06437624456112033,0.12349179586334902,0.11349639042488795,0.0,0.05154626768366771,0.07447852767086392,0.03442664647728059,0.0,0.0
2018-05-02,0.08367186774175635,0.06827608498391569,0.13316205740885054,0.029330066984184645,0.06692112494331341,0.13338174299436836,0.08654033812800373,0.12081856581699048,0.1268914660968868,0.007617201832209826,0.05112606888225436,0.06208920230602994,0.030174211881235934,0.0,0.0
2018-08-01,0.09171728458063068,0.059662815126599704,0.13082380388134732,0.04186693669430974,0.052821296229514474,0.10504765639904048,0.14764439465226306,0.09373926748240523,0.13107846470339854,0.009323139914956334,0.04050244733605535,0.05579546965329705,0.039977023346182146,0.0,0.0
2018-11-01,0.11964664981797772,0.11628130633566328,0.15,0.015054315474457052,0.03930070083525589,0.15,0.12420702822687407,0.08720453138027844,0.0456830620591014,0.0,0.0564269342970816,0.05638842415899934,0.03980704741431129,0.0,0.0
2019-02-01,0.06453094193922101,0.13093293524167615,0.13447694369926189,0.010619736736203405,0.07123122382345495,0.15,0.12314982685434805,0.08662349572646119,0.0536639255421809,0.013404997818500953,0.0649484618136956,0.059798043610830375,0.0366194671941655,0.0,0.0
2019-05-02,0.10250465042502746,0.12390689900536445,0.13791076273819244,0.0031365286567492413,0.050197159912247775,0.15,0.13851648689157695,0.08777417345680945,0.05563085632155201,0.005759731185867164,0.08489571252957792,0.020493653311731287,0.034624222973723175,0.004649162591580739,0.0
2019-08-01,0.08418492795427013,0.12546008206671172,0.1413240152562643,0.003608825034731166,0.04158521221333307,0.13733476038389433,0.14999999999999997,0.10196078396592467,0.04415410695108958,0.0,0.11233467403535999,0.019680466109922412,0.03837214602849855,0.0,0.0
2019-11-01,0.0903107370321689,0.08624500033899746,0.09941576377776044,0.06764493731311179,0.0,0.1313773925232529,0.15,0.12514942476890015,0.04091407392573926,0.026528523066035283,0.14615825236452493,0.010120449103637585,0.026135445785871292,0.0,0.0
2020-02-03,0.10583646365298455,0.0745423227586853,0.12006574397938859,0.11330293275793278,0.0,0.09490155292963741,0.13999618949178802,0.11119954067130601,0.05419881345374995,0.02020699161333621,0.14788746943917352,0.0,0.01786197925201762,0.0,0.0
2020-05-04,0.05110588901178873,0.023820004147231122,0.15000000000000002,0.03574300768940192,0.0,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.0,0.0895690547213366,0.15,0.0013777347185521174,0.048384309711689576,0.0,0.0
2020-08-03,0.02783651940800341,0.03175324485780733,0.13179683383286353,0.0,0.0,0.15,0.14999999999999997,0.15,0.014682864507070932,0.12134910379296343,0.15,0.0,0.0725814336012915,0.0,0.0
2020-11-02,0.027854501271465788,0.029479437218754633,0.11784749846512745,0.0,0.0,0.15,0.14999999999999994,0.15,0.058035193311221304,0.09148153708184265,0.15000000000000002,0.005717720237093997,0.06958411241449425,0.0,0.0
2021-02-01,0.026632683825447506,0.009132560585190989,0.11084596017803784,0.0,0.0,0.14652884050636492,0.14999999999999997,0.15,0.08511240498453959,0.0928206654052287,0.14685845593608618,0.006520352000963259,0.07554807657814115,0.0,0.0
2021-05-03,0.03784736376050412,0.15,0.00044611054403012243,0.0,0.010336898731015341,0.030257902067511448,0.15,0.15,0.15,0.05995645439426192,0.10828758296395093,0.056826055983566534,0.09604163155515963,0.0,0.0
2021-08-02,0.06841102199717328,0.15000000000000002,0.0143086312881993,0.02184183683447481,0.028574921749804087,0.03472321758691591,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.013076318784298317,0.08723203188100266,0.04969591746261509,0.08213610241551665,0.0,0.0
2021-11-01,0.06920754100478939,0.15000000000000002,0.003743099295432392,0.0,0.025430238745714612,0.05195130138174604,0.11593278099070907,0.15000000000000002,0.15000000000000002,0.04579740936498586,0.12012309313760475,0.021747943554060983,0.09606659252495685,0.0,0.0
2022-02-01,0.08871591783479339,0.15,0.0,0.0,0.036561253377477204,0.047713357967110695,0.06675250523674542,0.15,0.15,0.06694358291198492,0.14949238121549402,0.008995886563719108,0.08482511489267529,0.0,0.0
2022-05-02,0.04514531392353987,0.14702606177302605,0.0,0.0,0.09863563326472775,0.05773395817849541,0.04573968599890894,0.15,0.15,0.06764227245634502,0.1469317714345202,0.012935809535475412,0.07820949343496138,0.0,0.0
2022-08-01,0.04816850977866998,0.07813560395080121,0.0,0.0,0.08305408896156406,0.07278497190823198,0.07930351697586989,0.14999999999999997,0.15,0.08083822632558096,0.15,0.01565444724626467,0.09206063485301731,0.0,0.0
