,Total_Return,CAGR,Annualized_Volatility,Sharpe_Ratio,Sortino_Ratio,Maximum_Drawdown,Calmar_Ratio,VaR_95,CVaR_95,Best_Day,Worst_Day,Positive_Days_%,Observations
Equal_Weight,4.2692828316693685,0.17412155936561047,0.15333838175717557,1.124103438837351,1.7934385095803351,-0.3238352655648966,0.5376856009238947,-0.014263832877204556,-0.021936452218105706,0.08346871556303365,-0.10335264715560237,0.5553852050594097,2609.0
Minimum_Variance,3.015051103868167,0.1436937696615721,0.1382624170120704,1.0406282540723772,1.6931792750056336,-0.28787933188690507,0.4991458355823299,-0.012337242107763506,-0.018975538782062047,0.07623929437420061,-0.09506030250606257,0.5389037945573016,2609.0
Maximum_Sharpe,4.719604184398623,0.1834584603093501,0.1593716906532911,1.1372274638844952,1.8238703173167383,-0.2995387154709236,0.6124699440635697,-0.01500416133092234,-0.022670902887603567,0.09181827230415404,-0.10755962466205844,0.5400536604062859,2609.0
Risk_Parity,4.7993264875841986,0.1850418012480155,0.19560564381461923,0.9663975740651657,1.5443864818516058,-0.359412389351648,0.5148453607339929,-0.019926644505343993,-0.028341768678516815,0.08941227122877021,-0.10603802221582859,0.5580682253737064,2609.0
