,Average_Turnover,Median_Turnover,Total_Turnover,Number_of_Rebalances
Equal_Weight,0.023255813953488372,0.0,1.0,43.0
Minimum_Variance,0.2674233072570544,0.22868801107788253,11.499202212053339,43.0
Maximum_Sharpe,0.5220875377110498,0.5217972018189921,22.44976412157514,43.0
Risk_Parity,0.29771069590130506,0.2481273654724849,12.801559923756118,43.0
