Date,Equal_Weight,Minimum_Variance,Maximum_Sharpe,Risk_Parity
2016-02-01,0.003486477095002741,0.0042370300294976735,0.008078923160453949,-0.0022964358754464153
2016-02-02,-0.02134431622182884,-0.009036165310985389,-0.02109646463258273,-0.036418395086777015
2016-02-03,-0.008814132439408175,-0.011504269736795227,-0.005366924671089714,-0.009413175256968534
2016-02-04,0.0042941337957048,0.005374039878917046,-0.0031253132573520795,0.0013935053009686534
2016-02-05,0.011286970229062394,0.005605036593214912,0.009758625506292406,0.020351087523611634
2016-02-08,-0.011565433227132556,-0.014041766281669327,-0.01533764919215663,-0.013007684122739081
2016-02-09,-0.007437795831767801,-0.012278437715140965,-0.007339993734273157,0.0020957609296670308
2016-02-10,-0.013090566736911974,-0.01273717108499981,-0.005973182071590342,-0.01321413131828004
2016-02-11,-0.0328749474367752,-0.026069884920001694,-0.02918227803120995,-0.04038964150283154
2016-02-12,-0.004392766225202302,-0.00033852299075529243,0.0012332669422029556,-0.01003045681285468
2016-02-15,0.024940495319041557,0.006804623605567477,0.015030248818339491,0.04012600663693575
2016-02-16,-0.01077832438377319,-0.00820500958662369,-0.006952277279470388,-0.010580315933698506
2016-02-17,0.014389382079022088,0.011244516457768364,0.010597821511452553,0.017679672469388653
2016-02-18,0.01590911507197815,0.018655626914615524,0.018301225329350482,0.01429432332968178
2016-02-19,0.0048074202936501075,0.005161772687770593,0.00130525108517623,0.00244361928992196
2016-02-22,0.004626517035734548,-7.249164555998984e-05,0.004105037988911704,0.00887997892808395
2016-02-23,-0.01280193784428247,-0.013845685725397995,-0.008122511381824595,-0.013543650133014467
2016-02-24,-0.012596649947395497,-0.011462960148384806,-0.013961493601772438,-0.01642995733198247
2016-02-25,-0.0036676112546529804,-0.008392208149387828,-0.0033272073907977097,0.003155704881307141
2016-02-26,0.005874089577595848,0.004280266188565257,0.005346415070439904,0.007908828295262536
2016-02-29,-0.007419469614991542,-0.004678262780081875,-0.005680238485652082,-0.008212901688725033
2016-03-01,0.03083141028076415,0.033754006637150426,0.025936357322844043,0.023172917382760887
2016-03-02,0.01981532666859159,0.013454681295197625,0.010654900727887768,0.022452045495076647
2016-03-03,0.011515308941289848,0.011276216904232552,-0.0014236512545309696,0.013893224064421754
2016-03-04,4.728169983570689e-05,-0.002380480122850098,-0.004169934866929713,0.004400383065693159
2016-03-08,4.998942978937993e-05,0.0012372921890869068,-0.00174708838573435,-0.0016218520029024853
2016-03-09,0.004551006323633528,0.0028308834884938103,0.0009680183183814464,0.004433835125107701
2016-03-10,-0.003746391075196867,-0.0060110138202674555,-0.004152703880355628,-0.0011567227988527424
2016-03-11,-0.0006697815705525535,-0.0006087098986228409,-0.00020363456101991028,-0.0009240521559855769
2016-03-14,0.0033453844897948937,0.004127646664834054,-0.0005358583900592947,0.0011639275017029265
2016-03-15,-0.011414399065482169,-0.012537617957611609,-0.01577804577936314,-0.010501476073032267
2016-03-16,0.003186690439656827,0.005620994187527909,0.003039979840432955,0.003121639539978717
2016-03-17,0.0045970253494274005,0.007569263689153261,0.00019553889981787091,-0.0001829820435969927
2016-03-18,0.01131135857718139,0.012244171576956831,0.008125755169157752,0.009928156090096098
2016-03-21,0.009877467861432435,0.00976818041694414,0.008959681932573942,0.008775539410126529
2016-03-22,0.0003828111459294606,-0.00661299689057757,0.001184195067043392,0.005358273750353103
2016-03-23,0.002064412212655361,0.0009289743845835002,0.00023200866691230784,0.001055747727450642
2016-03-28,-0.014121115299000044,-0.002263935911341393,-0.010854090490698864,-0.019912427705328174
2016-03-29,-0.007962326571538548,-0.007078928181892203,-0.013534596958236183,-0.01017694628739066
2016-03-30,0.023297986406312303,0.017293064480594134,0.013186676345373127,0.030061297655473253
2016-03-31,0.0038955424202482,0.00918720278564304,0.005874260841557339,-0.0027018594802800467
2016-04-01,-0.004126876052463873,-0.007875569625357098,-0.0003443101453537859,0.0014117936607818639
2016-04-04,0.006419333822240313,0.009178162816521958,0.007745853165122005,0.0021797441667190417
2016-04-05,-0.01840394489183197,-0.0159145102366106,-0.016403973570433446,-0.019604578490994964
2016-04-06,0.004432649448100755,-0.0018732545489051288,0.002172704999535096,0.009399133979102602
2016-04-07,-0.003425525971894707,-0.004770382735785821,-0.00354671004195389,-8.061346407372931e-05
2016-04-08,0.008019775619024847,0.00748052790380408,0.004694416571597083,0.009267535988645832
2016-04-11,0.012232765383405482,0.014221507231454903,0.00834653299571419,0.008948035499471393
2016-04-12,0.005090690810746068,0.008100074708116294,0.006344179412778468,0.003362045585680684
2016-04-13,0.012376261327660208,0.013246416733432773,0.011267189014877261,0.012949363187685237
2016-04-18,0.011273417121549884,0.012588940239801078,0.018023502449757443,0.0022232903023100686
2016-04-20,0.007654261766206843,0.003670128680577675,0.007133847850574979,0.01283005591215782
2016-04-21,-0.009532470725910562,-0.01791351737304498,-0.016100055515068077,0.0006048386375544432
2016-04-22,-0.0022160982174441804,-0.0028243774537400432,-0.0030295440931789896,-0.002480272240809185
2016-04-25,-0.010378960933242476,-0.007455647800226837,-0.009984965392483431,-0.014689959048619847
2016-04-26,0.010699702042042982,0.007962578762364106,0.007130264681754148,0.014040473980809274
2016-04-27,0.008990165809217614,0.012277000241245643,0.004600873607660326,0.0050078435148193014
2016-04-28,-0.012038832990635748,-0.012925929047221984,-0.01543376227965708,-0.013082729420635878
2016-04-29,0.004833534446402127,0.0006773402856188704,0.008062583000230043,0.011122794181397834
2016-05-02,-0.007162202084099702,-0.008006214173374734,-0.00667229526431712,-0.005954374669110848
2016-05-03,-0.010572463470485809,-0.00969768983498339,-0.009492128823416901,-0.011483563779598532
2016-05-04,-0.009726747984611681,-0.004373384525076261,-0.007730574769494748,-0.01169952490887159
2016-05-05,0.005266753417619174,0.002386782812655358,0.0033011703725876833,0.00508897175314025
2016-05-06,-0.0024114264698134004,-0.0007417675636581288,-0.0031321013348643515,-0.0028970640945481553
2016-05-09,0.008571072398151282,0.007866718864258288,0.008754863635858345,0.007778810709754275
2016-05-10,-0.00017788918201129306,0.0007544375604337274,-0.0008136817352587984,-0.003430132325444261
2016-05-11,-0.004294210392549381,-0.003390633046752145,0.002647032916660709,-0.002090128984576938
2016-05-12,0.010209168302633255,0.010677008155916413,0.006639989920077833,0.007889127542005547
2016-05-13,-0.005818682502423241,0.00455737291637527,-0.006756854908600653,-0.016843058100580968
2016-05-16,0.010204266879026922,0.010852119983269161,0.009924965322093658,0.010159140224637573
2016-05-17,0.0005725629656226799,-0.0037606133209813395,0.0014129943000336048,0.0017377414020001546
2016-05-18,0.0033645027857617006,0.00037934059458998866,0.0012350318630611691,0.006881342633865532
2016-05-19,-0.009600211684059883,-0.008606760652712367,-0.006741528466526709,-0.011634100070052451
2016-05-20,-0.0027156867422138075,-0.0034316983864625746,-0.00313751103882074,0.0010027460661624918
2016-05-23,-0.006988659558891168,-0.0008205945098650922,-0.010020992636762985,-0.007147073146885724
2016-05-24,-0.0003532109090416738,0.000902884822929335,-0.0008280225577161882,-0.00130359628189265
2016-05-25,0.023463551145477754,0.02566131061116015,0.016875188308829336,0.014058053471793093
2016-05-26,0.011085844907906916,0.006142623277269003,0.009102954853909825,0.012572255810380406
2016-05-27,0.0044700867618574875,0.001286247495995823,0.004025628704283593,0.01117070937723039
2016-05-30,0.008451559393867464,0.014658571300937048,0.009820631921618053,0.003305518534687265
2016-05-31,-0.008646132511915254,-0.01456605809678898,-0.004773963005243971,-0.0047056979406653356
2016-06-01,0.013630061115855536,0.020987167102505245,0.013971236087655981,0.005403274933827128
2016-06-02,0.000582380924270047,-0.004624778620373728,-0.000215344368493704,0.002591133182984497
2016-06-03,-0.0031852903722231676,-0.00254048916547704,-0.0024444614449645368,-0.0025483825448996216
2016-06-06,-0.004290762348214461,-0.004160430973520302,-0.002921218523262137,-0.00558952831334668
2016-06-07,0.006811749784417962,0.004768630790292529,0.00642358056330733,0.010104172917041503
2016-06-08,0.0001057458200855801,0.0013809521074176312,-0.003961228738524086,0.0004325978739733521
2016-06-09,-0.002370823136085974,-0.003430670865411313,-0.005890541946770838,0.004692622289655943
2016-06-10,-0.005133155175919588,-0.00014270372490020116,-0.010348403981016066,-0.009474549341772854
2016-06-13,-0.011242894851454289,-0.008647375715976003,-0.011788481091504748,-0.012908733041476545
2016-06-14,0.00306929703068394,0.0028941980652635833,0.0018694987033008959,0.0035894259442802567
2016-06-15,0.009026232360454457,0.009691569561044125,0.009618502520579043,0.008073316006894864
2016-06-16,-0.007397277566229775,-0.007157873352692766,-0.004690305438530568,-0.008655984678654062
2016-06-17,-0.00056127245897794,0.0025997988976772385,-0.0054925291097493,-0.00505795777635428
2016-06-20,0.012256294168806907,0.00904044706151182,0.008807445097121159,0.013178545629575829
2016-06-21,-0.0040669336597814205,-0.004720637767093426,-0.003507688084007464,-0.0019391094574293672
2016-06-22,0.002165409240647287,0.00036556142942138835,-0.0008305845074690695,0.004153935994666752
2016-06-23,0.002532043179891148,0.0017425885865691468,0.005956627151632369,0.002683506429428642
2016-06-24,-0.01737319089198927,-0.010955082845617926,-0.016935855708121228,-0.01936659792173441
2016-06-27,0.0024692075796135205,-5.0773936628107155e-06,-0.0012484005946769177,0.008663059360893335
2016-06-28,0.0037985300108666804,0.0059367215896066906,0.007315573306799981,0.0010514514663477362
2016-06-29,0.01218490235866665,0.005920370356917505,0.008685488519769125,0.01654952466560577
2016-06-30,0.012233008405069457,0.010784864437663381,0.005836638743396872,0.016601114996247585
2016-07-01,0.01114658522379459,0.00764188702372392,0.008552493678617549,0.013025067960450679
2016-07-04,0.007119959227392228,0.001261384175306953,0.00158359032879745,0.00950970529975451
2016-07-05,-0.004196786078680567,-0.004638922738571947,-0.000607533099159109,-0.0028709316995080923
2016-07-07,-0.005520763106490222,-0.001583186845595908,-0.007639559986331152,-0.0036223456915138977
2016-07-08,-0.002468632336264054,-0.004381814401662519,0.0011422272478656043,0.0005624208622917765
2016-07-11,0.015410738773649728,0.01425056084005832,0.015052128649326754,0.016089296740537183
2016-07-12,0.0053997381849973805,0.0005471771093872666,0.0090933184158771,0.009801816693223714
2016-07-13,0.007329538050076729,0.005649888667675069,0.012696141227349977,0.00917668166098816
2016-07-14,-0.0016170336885670332,0.0015180859561235247,-0.003233710660136224,-0.005200044877974512
2016-07-15,-0.006022765343920634,-0.0038890630860824145,-0.014880682192807963,0.003081799611172193
2016-07-18,-0.008464252185850209,-0.006730234455868565,-0.0032593109859428535,-0.011426143279959097
2016-07-19,0.00016532606397702,-0.0006370528446637588,-0.0032954616248049382,0.0018289631386735501
2016-07-20,0.006303435351694161,0.0014223537586755969,-0.0008428230649210275,0.01182418527077881
2016-07-21,-0.003933195196301076,0.002963371442792217,-0.005583916673248219,-0.012845074644959544
2016-07-22,0.003556452545770434,0.003928837065427675,0.0005777312331170471,0.002890540096790381
2016-07-25,0.007712385006895228,0.00657636106651679,0.005730085931333402,0.007877215643426883
2016-07-26,-0.0060073473265506005,-0.003968273317514326,-0.00012080782460192939,-0.010532087439593128
2016-07-27,-0.008156846371231641,-0.005460550902537325,-0.003241241661201783,-0.013128340938636305
2016-07-28,0.002830308527618374,0.006824708427109592,0.002418902415383597,-0.0015645331645407282
2016-07-29,0.0003772686692227465,-0.003611455925149434,0.00716912348464472,0.0037384948621686474
2016-08-01,0.0021845098899687405,-0.001909322137732194,-0.003331469358115923,0.005036881390088789
2016-08-02,-0.0012718405566625268,-0.0031499230263077344,-0.0012982611684215243,0.0016128311275884842
2016-08-03,-0.009049338692843563,-0.00761756690097228,-0.013166418784540786,-0.009683093307633193
2016-08-04,0.011643180637312855,0.007068117477967824,0.018301662360829734,0.013489366572583374
2016-08-05,0.006750067465597608,0.0036526525255729755,0.009634047515149551,0.013687896940463415
2016-08-08,0.0066025404831407015,0.006329688897145145,0.004111240862657087,0.0028890437684368116
2016-08-09,-0.000839022011070227,-0.001981631372246089,-0.00214022684950601,0.0007087015889232119
2016-08-10,-0.008686684019657095,-0.010021531774884527,-0.008439192061762673,-0.007391214726125629
2016-08-11,0.003570896791104154,0.005974342604719727,0.002110927311348756,0.00043157160986155487
2016-08-12,0.0039533762145956,0.004549425545252987,0.007130309706609427,0.0014170925644868882
2016-08-16,-0.0036478493188488144,-0.008055032453960408,0.0005674685763235624,0.0024562953160705394
2016-08-17,0.00045502577170633313,-0.003600154734473996,0.005013362758039152,0.0009883703594425635
2016-08-18,0.004084437177818761,0.004309444783558198,0.005284323571375095,0.007834717441240558
2016-08-19,-0.0007194019167247068,-0.0029235192814823035,0.0016003408253973733,0.0010886121065475983
2016-08-22,-0.006689725676078202,-0.004237278518940181,-0.005834087176274488,-0.010340205674503484
2016-08-23,-0.0025063512562046803,-0.0005291012634562301,-0.0089508809466247,-0.003621840964459202
2016-08-24,0.005021089211533715,0.0033007630484161114,0.0034128731687786255,0.005796787064617396
2016-08-25,-0.008676011974974208,-0.006517318636826453,-0.005335960991795207,-0.011550063348386397
2016-08-26,-0.006057096811461372,-0.006811688424089622,-0.005220752943820983,-0.003716521660529806
2016-08-29,-0.004056973571789968,-0.007330185891380861,-0.0006259833065104033,-0.0009956168679424516
2016-08-30,0.010953985428105809,0.005766198806261046,0.01180045771637656,0.016553505745710052
2016-08-31,-0.0035475953788076343,0.001801173981229459,-0.012013497933433636,-0.005965257881199776
2016-09-01,-0.007791837818418575,-0.009995998443583497,-0.006408823328208719,-0.001747929564919509
2016-09-02,0.004945985461061341,0.004678676955528236,0.0028903197444270536,0.005012198604532586
2016-09-06,0.011502007838098016,0.010958118893537276,0.014332642953459228,0.0115891114496793
2016-09-07,-0.001829478259539954,-0.008152141353919964,-0.002326607314680596,0.0008598665863840049
2016-09-08,0.005975559570212653,0.0016960729259764486,0.014888057608730597,0.008133939304254002
2016-09-09,-0.0012620680436344132,-0.001368428876552459,-0.0065844337879410195,0.00224354101075481
2016-09-12,-0.018652855782839046,-0.011944016128988103,-0.03366465038648154,-0.02236545775283173
